,teamIDfg,Season,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Bat,Fld,Rep,Pos,RAR,WAR,Dol,Spd,wRC+,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FB% (Pitch),FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,BsR,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,Def,wSB,UBR,Age Rng,Off,Lg,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LD+%,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xBA,xSLG,xwOBA,L-WAR
0,30,1905,NYG,29,1530,5094,5839,1392,1074,191,88,39,778,642,517,,,90,,138,,291,,0.273,,,,,,,,,,,0.08900000000000001,,,0.351,0.368,0.719,0.095,,,,,,,,,,0.35,167.8,784,86.7,44.0,165.5,19.7,364.6,40.3,,6.7,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.7,15.3,,22 - 36,102.1,33.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,123,,107,107,118,,,,,,,,,,,,,,,,,,,0,,,,,,40.3
1,18,1905,CIN,27,1501,5205,5865,1401,1113,160,101,27,736,611,434,,,52,,174,,181,,0.269,,,,,,,,,,,0.07400000000000001,,,0.332,0.354,0.686,0.085,,,,,,,,,,0.333,99.9,719,-16.6,-13.0,166.2,13.1,178.6,20.2,,6.5,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,-4.6,,20 - 36,-21.2,33.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,103,,102,103,106,,,,,,,,,,,,,,,,,,,0,,,,,,20.2
2,27,1905,PIT,27,1511,5213,5790,1385,1082,190,91,22,692,564,382,,,36,,159,,202,,0.266,,,,,,,,,,,0.066,,,0.32,0.35,0.67,0.084,,,,,,,,,,0.324,66.2,677,-18.7,42.0,164.1,14.5,237.1,26.1,,6.4,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.5,2.1,,21 - 34,-16.6,33.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,92,,98,101,104,,,,,,,,,,,,,,,,,,,0,,,,,,26.1
3,26,1905,PHI,28,1488,5243,5867,1362,1077,187,82,16,708,567,406,,,44,,174,,180,,0.26,,,,,,,,,,,0.069,,,0.318,0.336,0.654,0.076,,,,,,,,,,0.318,40.8,660,-19.8,5.0,166.3,19.5,201.5,22.5,,6.1,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.5,-3.0,,19 - 38,-22.7,33.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,96,,98,97,95,,,,,,,,,,,,,,,,,,,0,,,,,,22.5
4,10,1905,PHA,28,1468,5146,5721,1310,979,256,51,24,623,511,376,,,34,,165,,190,,0.255,,,,,,,,,,,0.066,,,0.31,0.338,0.648,0.084,,,,,,,,,,0.315,27.1,631,18.5,4.0,162.1,19.8,221.2,24.7,,5.5,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.8,2.6,,19 - 39,21.1,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,97,,101,105,111,,,,,,,,,,,,,,,,,,,0,,,,,,24.7
5,5,1905,CLE,26,1460,5166,5655,1318,1017,211,72,18,562,482,286,,,55,,148,,188,,0.255,,,,,,,,,,,0.051,,,0.301,0.334,0.636,0.079,,,,,,,,,,0.308,1.7,598,12.9,11.0,160.3,16.1,217.2,24.2,,5.9,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.1,3.0,,20 - 34,15.8,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,75,,98,103,105,,,,,,,,,,,,,,,,,,,0,,,,,,24.2
6,17,1905,CHC,27,1466,5108,5810,1249,998,157,82,12,667,522,448,,,61,,193,,267,,0.245,,,,,,,,,,,0.077,,,0.313,0.314,0.627,0.07,,,,,,,,,,0.308,0.2,613,-66.5,64.0,164.7,20.3,230.6,25.1,,6.7,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.3,14.9,,22 - 36,-51.6,33.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,107,,96,91,87,,,,,,,,,,,,,,,,,,,0,,,,,,25.1
7,9,1905,NYH,28,1523,4957,5535,1228,981,163,61,23,588,480,360,,,67,,151,,200,,0.248,,,,,,,,,,,0.065,,,0.307,0.319,0.627,0.071,,,,,,,,,,0.306,-3.3,581,-50.6,-32.0,156.9,10.8,102.9,11.9,,5.8,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.2,4.1,,19 - 41,-46.6,13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,96,,100,99,94,,,,,,,,,,,,,,,,,,,0,,,,,,11.9
8,28,1905,STL,28,1457,5066,5609,1254,1009,140,85,20,534,446,391,,,43,,109,,162,,0.248,,,,,,,,,,,0.07,,,0.307,0.321,0.627,0.073,,,,,,,,,,0.306,-5.4,586,-69.1,-50.0,159.0,7.8,75.3,9.0,,5.8,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-42.2,-4.4,,22 - 37,-73.5,32.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,97,,94,93,91,,,,,,,,,,,,,,,,,,,0,,,,,,9.0
9,3,1905,BOS,29,1478,5049,5711,1179,916,165,69,29,578,488,486,,,37,,139,,131,,0.234,,,,,,,,,,,0.085,,,0.305,0.311,0.616,0.077,,,,,,,,,,0.303,-18.9,583,-34.7,1.0,161.8,18.6,150.4,16.8,,5.4,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.6,-10.5,,19 - 38,-45.2,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,126,,99,96,102,,,,,,,,,,,,,,,,,,,0,,,,,,16.8
10,6,1905,DET,28,1452,4971,5566,1209,952,190,54,13,511,421,375,,,40,,180,,129,,0.243,,,,,,,,,,,0.067,,,0.302,0.311,0.613,0.068,,,,,,,,,,0.299,-32.0,555,-34.1,-12.0,157.7,14.4,130.8,14.8,,5.1,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,-9.1,,18 - 39,-43.1,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,100,,98,96,90,,,,,,,,,,,,,,,,,,,0,,,,,,14.8
11,4,1905,CHW,29,1520,5114,5852,1213,947,200,55,11,614,487,439,,,58,,241,,194,,0.237,,,,,,,,,,,0.075,,,0.305,0.304,0.609,0.067,,,,,,,,,,0.299,-31.7,586,-2.2,71.0,165.8,7.6,258.7,28.1,,5.8,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.6,2.0,,24 - 36,-0.3,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,111,,99,94,89,,,,,,,,,,,,,,,,,,,0,,,,,,28.1
12,22,1905,BRO,27,1468,5100,5604,1255,1012,154,60,29,506,430,327,,,41,,136,,186,,0.246,,,,,,,,,,,0.057999999999999996,,,0.297,0.317,0.614,0.071,,,,,,,,,,0.299,-32.8,558,-86.6,-83.0,158.8,5.0,28.2,4.2,,5.4,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78.0,2.0,,21 - 35,-84.6,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,81,,91,92,88,,,,,,,,,,,,,,,,,,,0,,,,,,4.2
13,2,1905,SLB,28,1397,4885,5432,1132,931,138,48,15,480,395,355,,,51,,141,,124,,0.232,,,,,,,,,,,0.065,,,0.291,0.289,0.58,0.057,,,,,,,,,,0.285,-83.1,490,-59.8,-8.0,153.9,16.2,106.5,12.0,,4.8,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,-9.3,,21 - 34,-69.1,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,97,,95,89,76,,,,,,,,,,,,,,,,,,,0,,,,,,12.0
14,16,1905,BSN,27,1459,5190,5632,1217,1000,148,52,17,468,387,302,,,54,,86,,132,,0.234,,,,,,,,,,,0.054000000000000006,,,0.284,0.293,0.576,0.058,,,,,,,,,,0.282,-97.8,496,-167.7,-41.0,159.6,13.2,-11.9,-0.8,,4.8,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-27.8,-8.2,,19 - 33,-175.9,32.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,74,,87,85,73,,,,,,,,,,,,,,,,,,,0,,,,,,-0.8
