Date,Max Temperature (�C),Min Temperature (�C),Humidity,Precipitation (mm)
2023-03-25,28.3,14.4,13.9,6.6
2023-03-26,22.2,15.6,17.8,44.7
2023-03-27,26.7,16.7,13.3,11.2
2023-03-28,23.9,11.7,6.7,0.0
2023-03-29,18.3,7.8,-0.6,0.0
2023-03-30,22.8,7.2,1.1,0.0
2023-03-31,25.6,12.2,11.1,0.0
2023-04-01,27.2,13.9,7.8,12.7
2023-04-02,22.2,8.9,1.7,0.0
2023-04-03,15.0,12.2,10.0,3.0
2023-04-04,25.6,13.9,16.7,0.0
2023-04-05,30.6,18.3,17.8,0.0
2023-04-06,28.3,20.6,17.8,0.0
2023-04-07,26.1,11.1,15.0,3.0
2023-04-08,11.1,6.7,6.1,22.1
2023-04-09,18.9,6.7,3.3,0.0
2023-04-10,18.9,7.8,-1.1,0.0
2023-04-11,22.8,7.8,0.0,0.0
2023-04-12,25.6,8.9,1.7,0.0
2023-04-13,18.3,12.8,12.8,20.1
2023-04-14,21.7,16.1,13.9,2.5
2023-04-15,26.7,14.4,13.3,0.0
2023-04-16,23.3,13.3,12.2,2.0
2023-04-17,21.7,8.3,0.6,0.0
2023-04-18,26.7,9.4,2.2,0.0
2023-04-19,28.3,12.2,6.1,0.0
2023-04-20,28.9,15.0,8.3,0.0
2023-04-21,26.1,15.0,10.0,0.0
2023-04-22,21.7,12.8,6.7,0.8
2023-04-23,21.7,10.6,4.4,0.0
2023-04-24,20.6,10.0,0.6,0.0
2023-04-25,23.3,8.3,5.6,0.0
2023-04-26,16.7,13.3,10.0,0.0
2023-04-27,16.7,12.8,13.3,10.2
2023-04-28,26.1,15.6,13.9,0.0
2023-04-29,23.3,13.9,13.3,5.3
2023-04-30,22.8,11.7,9.4,29.2
2023-05-01,20.0,10.0,1.7,0.0
2023-05-02,22.8,8.9,1.7,0.0
2023-05-03,22.2,8.9,1.7,0.0
2023-05-04,23.9,10.0,4.4,0.0
2023-05-05,17.8,14.4,10.0,0.3
2023-05-06,24.4,15.0,13.9,0.0
2023-05-07,28.3,16.1,16.7,0.0
2023-05-08,30.0,19.4,17.8,0.0
2023-05-09,29.4,20.0,19.4,0.0
2023-05-10,28.9,19.4,16.1,0.0
2023-05-11,27.2,19.4,16.7,0.0
2023-05-12,26.1,19.4,18.3,5.8
2023-05-13,30.0,18.3,17.8,0.0
2023-05-14,32.2,21.1,18.3,0.0
2023-05-15,29.4,21.1,19.4,1.5
2023-05-16,31.1,20.0,19.4,7.4
2023-05-17,27.2,18.9,18.9,0.0
2023-05-18,22.2,17.8,17.2,0.0
2023-05-19,22.8,16.1,15.0,0.0
2023-05-20,25.0,18.3,17.8,14.2
2023-05-21,26.7,18.3,17.8,0.0
2023-05-22,21.1,17.2,15.6,10.4
2023-05-23,22.2,17.8,13.3,0.3
