Date,Max Temperature (�C),Min Temperature (�C),Humidity,Precipitation (mm)
2023-03-25,2.8,-7.7,-9.4,3.8
2023-03-26,4.4,-6.6,-11.7,0.0
2023-03-27,0.0,-9.9,-8.3,1.5
2023-03-28,12.8,-10.5,-10.6,0.0
2023-03-29,7.8,-6.0,-5.0,0.0
2023-03-30,20.6,-6.6,-7.8,0.0
2023-03-31,11.1,-0.5,-11.7,0.0
2023-04-01,19.4,-3.2,-11.7,0.0
2023-04-02,21.1,-0.5,-10.0,0.0
2023-04-03,18.9,-2.1,-3.3,0.0
2023-04-04,2.8,-8.8,-6.7,2.3
2023-04-05,6.1,-11.6,-10.0,0.0
2023-04-06,10.6,-6.0,-11.1,0.0
2023-04-07,20.0,-2.7,-11.7,0.0
2023-04-08,21.7,3.9,-6.1,0.0
2023-04-09,20.6,0.0,-4.4,0.0
2023-04-10,24.4,-0.5,-6.1,0.0
2023-04-11,29.4,6.7,-8.3,0.0
2023-04-12,29.4,10.0,-6.1,0.0
2023-04-13,26.7,12.8,-3.9,0.0
2023-04-14,12.8,0.0,0.0,1.8
2023-04-15,10.6,-3.8,-3.3,0.0
2023-04-16,16.7,-4.9,-7.2,0.0
2023-04-17,22.8,4.4,-8.9,0.0
2023-04-18,25.6,5.6,-10.6,0.0
2023-04-19,16.1,-0.5,-3.3,1.3
2023-04-20,9.4,-3.2,-13.3,0.0
2023-04-21,11.1,-2.1,-10.0,1.5
2023-04-22,4.4,-4.3,-4.4,1.5
2023-04-23,13.9,-3.8,-4.4,0.0
2023-04-24,18.3,1.1,-3.9,0.0
2023-04-25,17.8,3.3,3.3,7.9
2023-04-26,13.3,3.9,3.3,0.0
2023-04-27,20.0,3.9,-0.6,4.1
2023-04-28,14.4,1.1,-2.8,0.0
2023-04-29,22.8,5.0,-1.1,0.0
2023-04-30,20.0,1.7,-0.6,0.0
2023-05-01,22.8,3.3,-1.1,0.0
2023-05-02,22.8,6.1,1.7,0.0
2023-05-03,26.1,6.1,0.6,0.0
2023-05-04,25.0,8.9,3.9,0.5
2023-05-05,25.0,5.6,1.7,0.0
2023-05-06,22.2,4.4,-2.2,0.0
2023-05-07,22.2,5.0,0.0,0.0
2023-05-08,23.3,3.9,3.3,1.3
2023-05-09,25.6,6.1,7.8,0.0
2023-05-10,18.3,9.4,9.4,16.5
2023-05-11,10.0,8.3,8.3,74.2
2023-05-12,15.0,7.8,6.7,21.1
2023-05-13,16.1,7.2,7.2,0.8
2023-05-14,16.1,8.9,9.4,3.6
2023-05-15,15.0,8.3,8.3,0.3
2023-05-16,25.6,8.9,7.2,1.3
2023-05-17,25.6,11.1,7.2,0.0
2023-05-18,19.4,10.6,10.0,4.8
2023-05-19,13.3,10.0,8.9,0.0
2023-05-20,21.1,7.8,8.3,0.0
2023-05-21,23.3,9.4,6.1,0.0
2023-05-22,23.3,10.6,6.7,0.0
2023-05-23,25.0,11.1,8.9,0.0
2023-05-24,22.8,11.1,10.6,0.5
2023-05-25,24.4,8.3,9.4,1.5
2023-05-26,24.4,10.0,10.6,11.4
2023-05-27,25.0,9.4,9.4,2.5
2023-05-28,25.0,8.9,7.8,0.0
2023-05-29,27.8,11.1,7.2,0.0
2023-05-30,26.7,11.1,7.2,0.0
2023-05-31,26.1,9.4,7.8,0.3
2023-06-01,21.7,8.9,8.9,1.3
2023-06-02,21.1,10.6,9.4,2.3
2023-06-03,16.1,11.1,10.6,7.9
2023-06-04,15.0,11.1,11.1,34.5
2023-06-05,21.1,11.1,11.1,0.0
2023-06-06,25.0,10.6,11.1,0.0
2023-06-07,24.4,10.0,10.0,0.0
2023-06-08,25.6,12.2,9.4,5.6
2023-06-09,26.1,11.7,8.9,1.5
2023-06-10,23.9,10.6,8.9,0.0
2023-06-11,18.3,10.0,10.6,2.0
2023-06-12,18.3,10.6,10.0,6.4
2023-06-13,18.9,9.4,8.9,1.8
2023-06-14,25.0,8.3,8.3,0.0
2023-06-15,24.4,12.8,9.4,7.1
2023-06-16,15.6,10.6,11.1,14.5
2023-06-17,22.2,8.3,8.9,0.0
2023-06-18,28.3,11.1,7.2,0.0
2023-06-19,30.6,14.4,6.7,0.0
2023-06-20,29.4,15.0,7.8,0.0
2023-06-21,28.3,11.7,12.8,47.0
2023-06-22,23.9,13.9,13.3,4.1
2023-06-23,28.9,12.2,13.9,0.0
2023-06-24,27.8,10.0,5.6,0.0
2023-06-25,26.7,10.0,11.1,0.0
2023-06-26,30.0,11.7,12.8,0.0
2023-06-27,33.3,15.0,10.6,0.0
2023-06-28,28.3,16.1,13.9,0.0
2023-06-29,27.2,13.9,12.8,16.3
2023-06-30,21.1,12.2,12.2,2.8
2023-07-01,27.8,12.2,10.6,0.0
2023-07-02,30.0,14.4,10.6,0.0
2023-07-03,30.0,15.0,9.4,0.3
2023-07-04,25.6,12.2,11.7,19.6
2023-07-05,21.7,12.2,13.9,0.3
2023-07-06,26.1,13.9,15.6,0.5
2023-07-07,23.9,13.3,12.8,3.0
2023-07-08,26.7,13.3,13.9,0.0
2023-07-09,26.7,13.9,13.9,0.0
2023-07-10,33.3,16.1,11.7,0.0
2023-07-11,33.9,17.8,10.0,0.0
2023-07-12,31.7,16.7,10.0,0.0
2023-07-13,33.9,16.1,11.7,0.0
