Date,Max Temperature (C),Min Temperature (C),Humidity,Precipitation (mm)
2023-03-25,16.1,1.7,3.9,3.3
2023-03-26,7.2,0.0,1.1,0.0
2023-03-27,10.6,-2.7,-2.2,0.0
2023-03-28,10.6,0.0,-2.2,0.8
2023-03-29,14.4,-0.5,-0.6,0.0
2023-03-30,21.7,3.9,6.7,0.0
2023-03-31,26.1,4.4,7.2,0.0
2023-04-01,15.0,1.1,-5.6,0.0
2023-04-02,25.0,3.9,1.1,0.0
2023-04-03,21.7,10.6,6.1,0.0
2023-04-04,29.4,6.1,11.1,2.5
2023-04-05,11.1,0.6,-3.3,0.5
2023-04-06,15.0,-2.7,-6.1,0.0
2023-04-07,18.3,1.1,-4.4,0.0
2023-04-08,20.0,4.4,-5.0,0.0
2023-04-09,22.8,7.8,2.2,0.0
2023-04-10,20.6,11.1,9.4,6.4
2023-04-11,25.0,7.8,10.0,0.0
2023-04-12,25.6,13.9,7.8,0.0
2023-04-13,26.7,13.3,7.8,0.0
2023-04-14,27.2,12.2,10.0,0.0
2023-04-15,17.8,5.0,7.2,10.9
2023-04-16,14.4,3.3,-1.1,0.0
2023-04-17,20.0,1.7,-2.8,0.0
2023-04-18,26.7,10.6,6.1,0.0
2023-04-19,26.1,14.4,13.3,36.1
2023-04-20,20.0,5.0,9.4,13.2
2023-04-21,13.9,4.4,1.1,0.0
2023-04-22,8.9,0.6,-2.8,0.0
2023-04-23,13.9,-0.5,-3.3,0.0
2023-04-24,19.4,1.1,0.0,0.0
2023-04-25,19.4,5.6,3.9,0.0
2023-04-26,18.3,7.8,4.4,0.0
2023-04-27,19.4,10.6,6.1,0.0
2023-04-28,18.3,10.6,9.4,0.8
2023-04-29,23.3,6.7,4.4,0.0
2023-04-30,15.6,5.6,-0.6,0.0
2023-05-01,17.8,3.9,-2.2,0.0
2023-05-02,18.9,5.6,-2.8,0.0
2023-05-03,22.8,4.4,-2.2,0.0
2023-05-04,23.3,6.7,6.1,0.0
2023-05-05,24.4,13.3,13.9,1.5
2023-05-06,32.8,16.7,16.1,0.0
2023-05-07,31.7,17.2,17.2,0.0
2023-05-08,28.3,13.9,15.6,6.4
2023-05-09,26.1,16.1,14.4,1.5
2023-05-10,28.3,14.4,16.7,0.0
2023-05-11,21.7,17.2,17.8,6.4
2023-05-12,27.8,18.9,20.0,0.0
2023-05-13,28.3,18.3,16.7,0.0
2023-05-14,30.6,16.7,18.9,3.8
2023-05-15,20.0,13.9,15.0,22.1
2023-05-16,21.7,13.3,13.9,0.8
2023-05-17,27.8,11.7,11.7,0.0
2023-05-18,27.8,14.4,14.4,0.0
2023-05-19,19.4,9.4,10.6,1.0
2023-05-20,21.7,6.7,7.2,0.0
2023-05-21,23.9,10.0,9.4,0.0
2023-05-22,25.0,11.7,10.6,0.0
2023-05-23,27.2,14.4,10.6,0.0
2023-05-24,29.4,13.3,13.9,32.8
2023-05-25,28.3,16.7,13.9,0.0
2023-05-26,25.6,15.0,5.6,0.0
2023-05-27,25.6,12.8,6.1,0.0
2023-05-28,27.2,13.3,10.0,0.0
2023-05-30,29.4,16.7,17.2,4.8
2023-05-31,26.1,16.7,18.3,30.7
2023-06-01,29.4,18.3,19.4,0.0
2023-06-02,30.6,18.3,18.9,25.4
2023-06-03,31.1,18.9,16.7,0.0
2023-06-04,31.7,17.2,15.6,0.0
2023-06-05,31.1,18.3,16.7,0.0
2023-06-06,31.1,16.7,16.7,0.0
2023-06-07,32.8,18.9,17.2,0.0
2023-06-08,25.0,19.4,16.1,1.0
2023-06-09,27.8,17.8,11.1,0.0
2023-06-10,21.7,18.3,17.2,9.1
2023-06-11,23.3,13.3,16.1,9.7
2023-06-12,23.3,10.6,10.6,0.0
2023-06-13,26.7,10.0,11.1,0.0
2023-06-14,29.4,13.3,12.8,0.0
2023-06-15,30.0,14.4,14.4,0.0
2023-06-16,31.1,16.7,15.6,0.0
2023-06-17,30.6,19.4,18.3,0.0
2023-06-18,27.2,16.1,17.8,35.1
2023-06-19,31.7,17.8,18.3,0.0
2023-06-20,30.6,20.6,17.2,0.0
2023-06-21,31.1,21.1,17.8,0.0
2023-06-22,30.6,20.0,16.7,0.0
2023-06-23,31.7,18.3,17.8,0.0
2023-06-24,32.8,22.8,21.1,0.0
2023-06-25,30.0,19.4,13.3,0.0
2023-06-26,29.4,17.2,13.3,0.0
2023-06-27,30.0,15.0,15.0,0.0
2023-06-28,35.0,21.7,20.6,0.0
2023-06-29,33.9,21.7,21.1,0.0
2023-06-30,35.6,21.1,21.1,5.3
2023-07-01,29.4,18.3,20.0,5.1
2023-07-02,30.0,17.8,18.3,0.0
2023-07-03,32.2,17.8,16.7,0.0
2023-07-04,35.0,17.8,18.3,10.7
2023-07-05,27.2,18.9,19.4,18.3
2023-07-06,25.6,16.7,16.1,0.0
2023-07-07,26.1,18.3,17.2,0.0
2023-07-08,24.4,16.7,16.7,0.3
2023-07-09,27.8,15.6,15.0,0.0
2023-07-10,30.0,15.0,16.7,0.0
2023-07-11,33.3,20.0,21.1,0.0
2023-07-12,32.8,22.8,21.7,0.0
2023-07-13,32.2,21.7,22.2,0.0
2023-07-14,35.0,19.4,20.6,22.4
2023-07-15,30.6,17.2,20.0,0.0
2023-07-16,28.9,18.9,20.6,22.4
2023-07-17,31.1,20.6,22.2,0.0
2023-07-18,26.7,19.4,20.6,2.8
2023-07-19,29.4,21.7,23.3,0.0
2023-07-20,31.1,20.6,20.6,0.0
2023-07-21,27.2,19.4,17.2,0.0
2023-07-22,30.0,15.6,18.3,0.0
2023-07-23,32.8,17.2,20.6,0.0
2023-07-24,32.2,20.0,21.1,24.9
2023-07-25,33.3,23.3,22.2,0.0
2023-07-26,36.7,27.2,23.3,0.0
2023-07-27,32.8,23.3,22.8,0.0
2023-07-28,37.2,25.6,21.7,0.0
2023-07-29,31.1,21.7,20.6,2.5
2023-07-30,32.2,20.0,20.6,17.0
2023-07-31,27.8,20.0,21.1,11.2
2023-08-01,31.7,23.3,23.3,1.0
2023-08-02,28.3,23.9,23.9,0.0
2023-08-03,30.0,23.3,23.9,12.4
2023-08-04,30.6,22.2,23.3,0.0
2023-08-05,32.2,21.1,22.2,0.0
2023-08-06,26.7,20.0,19.4,1.8
2023-08-07,26.7,18.3,18.3,0.0
2023-08-08,31.1,18.9,18.9,0.0
2023-08-09,28.3,20.0,20.6,33.0
2023-08-10,30.6,18.3,21.1,0.0
2023-08-11,34.4,21.7,22.8,0.0
2023-08-12,32.8,21.1,21.1,0.0
2023-08-13,28.3,21.1,22.2,73.9
2023-08-14,25.0,16.7,16.1,0.0
2023-08-15,26.1,15.6,15.6,0.0
2023-08-16,27.8,13.9,16.7,0.0
2023-08-17,27.2,17.2,16.1,0.0
2023-08-18,28.3,15.0,15.6,0.0
2023-08-19,36.7,20.6,23.3,0.0
2023-08-20,35.0,24.4,25.6,0.0
2023-08-21,35.6,26.1,26.7,0.0
2023-08-22,35.0,25.0,26.7,0.0
2023-08-23,35.6,26.1,25.6,0.0
2023-08-24,36.7,23.9,23.9,0.0
2023-08-25,39.4,25.0,22.8,0.0
2023-08-26,27.8,20.0,21.7,0.0
2023-08-27,27.2,18.3,17.2,0.0
2023-08-28,28.3,15.0,15.6,0.0
2023-08-30,28.9,16.7,15.6,0.0
2023-08-31,28.3,15.6,14.4,0.0
2023-09-01,31.1,15.0,13.9,0.0
2023-09-02,33.9,14.4,14.4,0.0
2023-09-03,34.4,15.6,16.7,0.0
2023-09-04,35.6,21.7,18.3,0.0
2023-09-05,35.6,18.3,18.9,3.0
2023-09-06,25.6,16.1,13.9,0.0
2023-09-07,28.3,11.7,12.2,0.0
2023-09-08,28.9,16.1,13.3,0.3
2023-09-09,29.4,15.0,12.8,0.0
2023-09-10,30.0,14.4,14.4,0.0
2023-09-11,21.7,13.9,16.7,2.0
2023-09-12,26.1,12.2,11.7,0.0
2023-09-13,27.2,11.7,8.9,0.0
2023-09-14,27.8,12.2,8.3,0.0
2023-09-15,28.9,11.7,12.2,0.5
2023-09-16,26.7,13.9,15.6,1.8
2023-09-17,25.6,11.7,11.1,0.0
2023-09-18,30.0,9.4,11.7,0.0
2023-09-19,29.4,16.7,13.9,0.0
2023-09-20,28.3,16.7,16.1,0.0
2023-09-21,28.9,16.1,16.7,0.0
2023-09-22,25.0,17.8,17.8,11.9
2023-09-23,25.0,17.8,18.9,6.1
2023-09-24,28.9,15.6,13.9,0.0
2023-09-25,30.0,13.3,13.9,0.0
2023-09-26,27.8,14.4,14.4,0.0
2023-09-27,27.8,13.3,13.3,0.0
2023-09-28,30.6,16.1,16.1,0.0
2023-09-29,33.3,17.2,17.8,0.0
2023-09-30,33.3,18.9,17.2,0.0
2023-10-01,32.8,17.2,15.0,0.0
2023-10-02,32.2,17.2,16.1,0.0
2023-10-03,30.0,17.2,15.0,0.0
2023-10-04,25.6,15.6,15.0,0.8
