Date,Max Temperature (�C),Min Temperature (�C),Humidity,Precipitation (mm)
2023-03-25,18.3,9.4,1.1,0.0
2023-03-26,17.8,10.6,0.0,0.0
2023-03-27,22.2,8.3,1.1,0.0
2023-03-28,20.0,11.1,3.9,0.0
2023-03-29,15.0,8.9,8.3,24.9
2023-03-30,15.0,7.8,6.7,18.0
2023-03-31,16.1,7.2,7.8,0.0
2023-04-01,18.9,8.9,8.9,0.0
2023-04-02,16.7,9.4,10.0,0.0
2023-04-03,16.7,11.1,2.8,0.3
2023-04-04,16.1,9.4,-0.6,0.0
2023-04-05,18.3,8.3,3.3,0.0
2023-04-06,21.1,9.4,3.3,0.0
2023-04-07,20.0,11.1,9.4,0.0
2023-04-08,18.3,10.6,11.1,0.0
2023-04-09,16.7,11.1,11.7,0.0
2023-04-10,17.2,11.7,11.7,0.0
2023-04-11,16.1,11.7,11.7,0.0
2023-04-12,15.6,12.2,11.7,0.5
2023-04-13,15.6,11.7,10.6,1.5
2023-04-14,17.2,11.7,10.0,0.0
2023-04-15,17.8,9.4,10.0,0.0
2023-04-16,16.1,11.1,10.6,0.0
2023-04-17,17.8,12.8,10.6,0.0
2023-04-18,18.3,11.7,9.4,0.0
2023-04-19,18.3,9.4,7.2,0.0
2023-04-20,22.8,11.1,6.7,0.0
2023-04-21,27.8,13.3,6.7,0.0
2023-04-22,27.2,13.9,11.1,0.0
2023-04-23,20.6,13.9,12.8,0.0
2023-04-24,19.4,13.9,12.2,0.0
2023-04-25,19.4,13.9,12.2,0.0
2023-04-26,18.3,12.2,12.2,0.0
2023-04-27,17.2,12.2,11.7,0.0
2023-04-28,17.2,12.2,11.7,0.0
2023-04-29,17.2,12.2,11.7,0.0
2023-04-30,17.2,13.3,12.2,0.0
2023-05-01,17.8,12.2,10.6,1.0
2023-05-02,17.8,11.7,7.8,0.0
2023-05-03,17.8,9.4,7.2,0.0
2023-05-04,17.8,11.7,10.0,3.3
2023-05-05,18.9,12.8,9.4,2.0
2023-05-06,18.9,10.6,9.4,0.0
2023-05-07,19.4,12.8,10.6,0.0
2023-05-08,19.4,13.9,12.2,0.0
2023-05-09,18.9,12.8,11.1,0.0
2023-05-10,18.9,11.7,10.0,0.0
2023-05-11,18.9,12.2,11.1,0.0
2023-05-12,20.0,12.2,12.2,0.0
2023-05-13,18.9,13.9,13.3,0.0
2023-05-14,21.1,14.4,13.9,0.0
2023-05-15,18.9,14.4,13.9,0.0
2023-05-16,18.9,13.3,13.3,0.0
2023-05-17,17.8,13.3,12.8,0.0
2023-05-18,21.1,14.4,13.3,0.0
2023-05-19,17.8,15.0,13.9,0.0
2023-05-20,19.4,15.0,14.4,0.0
2023-05-21,19.4,15.0,13.9,0.0
2023-05-22,17.8,15.0,14.4,0.0
2023-05-23,16.1,14.4,13.9,0.5
2023-05-24,18.3,13.9,12.2,0.0
2023-05-25,18.3,15.0,11.1,0.3
2023-05-26,20.0,14.4,11.1,0.0
2023-05-27,19.4,14.4,12.2,0.0
2023-05-28,17.8,15.0,13.3,0.0
2023-05-29,20.0,16.1,13.3,0.0
2023-05-30,18.9,15.6,11.7,0.0
2023-05-31,20.0,15.0,11.7,0.0
2023-06-01,18.3,15.6,12.8,0.0
2023-06-02,20.6,15.0,12.2,0.0
2023-06-03,20.6,14.4,12.8,0.0
2023-06-04,19.4,15.0,13.3,0.0
2023-06-05,18.9,14.4,11.7,0.0
2023-06-06,18.3,13.9,10.6,0.0
2023-06-07,19.4,15.0,12.2,0.0
2023-06-08,20.6,13.3,13.3,0.0
2023-06-09,20.0,14.4,13.3,0.0
2023-06-10,20.0,16.1,13.9,0.3
2023-06-11,20.6,15.6,13.3,0.0
2023-06-12,21.1,15.6,13.3,0.0
2023-06-13,20.6,15.6,13.3,0.0
2023-06-14,18.3,15.0,13.3,0.0
2023-06-15,19.4,16.1,14.4,0.0
2023-06-16,21.1,16.1,15.0,0.0
2023-06-17,20.6,16.1,15.0,0.0
2023-06-18,20.0,16.1,14.4,0.0
2023-06-19,21.7,16.1,13.9,0.0
2023-06-20,21.7,15.0,13.3,0.0
2023-06-21,22.2,15.0,13.3,0.0
2023-06-22,21.1,15.0,12.2,0.0
2023-06-23,21.1,14.4,11.7,0.0
2023-06-24,22.2,13.3,13.3,0.0
2023-06-25,21.1,13.9,12.8,0.0
2023-06-26,20.6,14.4,13.3,0.0
2023-06-27,20.6,15.0,13.9,0.0
2023-06-28,21.1,15.0,13.9,0.0
