Date,Max Temperature (�C),Min Temperature (�C),Humidity,Precipitation (mm)
2023-03-25,7.2,-0.5,-6.1,0.0
2023-03-26,6.7,-4.3,-6.7,0.0
2023-03-27,5.0,-4.3,-10.0,0.0
2023-03-28,2.2,-9.3,-12.2,0.0
2023-03-29,-1.6,-11.6,-15.6,0.0
2023-03-30,2.8,-8.2,-7.2,1.0
2023-03-31,3.3,-0.5,-0.6,35.8
2023-04-01,5.0,-3.8,-6.7,3.3
2023-04-02,10.6,-3.8,-2.2,0.0
2023-04-03,6.7,1.7,-2.8,0.0
2023-04-04,3.3,1.1,-0.6,1.5
2023-04-05,2.8,-3.8,-5.6,0.3
2023-04-06,3.3,-5.5,-9.4,0.0
2023-04-07,10.6,-3.2,-5.6,0.0
2023-04-08,19.4,2.8,-1.7,0.0
2023-04-09,18.9,8.3,-1.7,0.0
2023-04-10,22.2,7.8,0.0,0.0
2023-04-11,27.2,10.0,4.4,0.0
2023-04-12,31.1,17.2,8.3,0.0
2023-04-13,30.6,17.8,4.4,0.0
2023-04-14,28.3,13.3,7.8,0.0
2023-04-15,12.8,2.8,4.4,9.9
2023-04-16,2.8,0.0,-1.7,9.1
2023-04-17,10.0,-0.5,-4.4,0.0
2023-04-18,13.3,-0.5,-5.0,0.0
2023-04-19,7.8,2.8,0.0,16.8
2023-04-20,6.1,2.8,1.7,13.0
2023-04-21,5.6,0.6,-2.2,0.3
2023-04-22,2.8,-0.5,-4.4,0.0
2023-04-23,7.2,-1.6,-5.6,0.0
2023-04-24,9.4,0.0,-3.9,0.0
2023-04-25,11.1,0.0,-6.1,0.0
2023-04-26,13.9,0.6,-3.3,0.0
2023-04-27,16.7,10.6,4.4,0.5
2023-04-28,11.1,4.4,5.6,6.1
2023-04-29,12.8,3.3,0.6,0.0
2023-04-30,10.0,2.8,-0.6,0.0
2023-05-01,14.4,5.6,-3.9,0.0
2023-05-02,16.7,5.0,-7.2,0.0
2023-05-03,21.1,3.3,-2.8,0.0
2023-05-04,25.0,11.7,-0.6,0.0
2023-05-05,17.8,10.6,8.9,4.1
2023-05-06,16.7,13.3,12.8,12.7
2023-05-07,24.4,12.8,12.2,0.0
2023-05-08,25.0,11.1,11.7,0.0
2023-05-09,20.0,12.8,12.8,0.0
2023-05-10,26.1,14.4,11.7,0.0
2023-05-11,24.4,15.6,14.4,0.8
2023-05-12,23.3,17.8,13.9,0.0
2023-05-13,20.0,12.2,11.7,7.1
2023-05-14,18.9,10.0,8.3,12.2
2023-05-15,23.9,7.8,6.7,0.0
2023-05-16,27.2,12.2,8.9,0.0
2023-05-17,19.4,10.6,6.7,0.0
2023-05-18,18.9,11.7,10.0,3.6
2023-05-19,16.1,6.7,3.9,0.0
2023-05-20,22.8,6.7,5.0,0.0
2023-05-21,26.1,11.1,6.1,0.0
2023-05-22,27.8,14.4,7.8,0.0
2023-05-23,28.9,15.6,8.9,0.0
2023-05-24,24.4,13.3,8.9,0.0
2023-05-25,25.0,13.9,2.8,0.0
2023-05-26,27.2,12.2,1.1,0.0
2023-05-27,28.9,12.2,1.7,0.0
2023-05-28,28.9,14.4,5.0,0.0
2023-05-29,31.1,18.3,6.7,0.0
2023-05-30,32.2,17.2,13.9,0.8
2023-05-31,32.2,18.9,14.4,0.0
2023-06-01,32.8,22.2,16.1,0.0
2023-06-02,30.6,21.1,17.2,0.8
2023-06-03,32.2,20.0,15.0,0.0
2023-06-04,33.3,21.7,14.4,0.0
2023-06-05,30.6,20.6,16.1,0.0
2023-06-06,30.0,20.6,16.1,0.0
2023-06-07,27.2,19.4,10.0,0.0
2023-06-08,28.3,16.7,6.1,0.0
2023-06-09,30.0,16.1,8.3,0.0
2023-06-10,29.4,13.9,12.8,1.5
2023-06-11,21.7,10.0,3.9,0.0
2023-06-12,27.8,12.8,5.6,0.0
2023-06-13,31.1,15.0,8.3,0.0
2023-06-14,29.4,16.7,11.1,0.0
2023-06-15,23.3,13.3,8.9,0.0
2023-06-16,25.6,10.6,9.4,0.0
2023-06-17,29.4,16.7,10.6,0.0
2023-06-18,26.7,18.9,15.6,0.3
2023-06-19,32.8,18.3,17.2,0.0
2023-06-20,32.8,21.7,13.3,0.0
2023-06-21,33.3,20.6,13.9,0.0
2023-06-22,33.3,21.7,13.9,0.0
2023-06-23,33.3,22.2,15.6,0.5
2023-06-24,28.9,17.2,16.1,1.3
2023-06-25,24.4,17.8,16.7,17.5
2023-06-26,28.9,17.8,14.4,1.5
2023-06-27,30.0,17.8,13.9,0.0
2023-06-28,30.0,21.1,16.7,0.3
2023-06-29,32.8,18.3,16.1,0.0
2023-06-30,31.1,20.0,14.4,0.0
2023-07-01,31.7,19.4,14.4,0.0
2023-07-02,32.2,21.1,15.0,0.0
2023-07-03,35.0,21.7,17.8,0.0
2023-07-04,27.8,19.4,18.3,14.5
2023-07-05,25.0,16.7,11.7,0.0
2023-07-06,25.0,15.6,13.9,0.0
2023-07-07,23.3,15.0,10.0,0.0
2023-07-08,27.2,14.4,9.4,0.0
2023-07-09,30.0,15.0,10.6,0.0
2023-07-10,33.9,20.0,13.9,0.0
2023-07-11,28.3,16.7,14.4,0.0
2023-07-12,27.2,17.2,11.7,0.0
2023-07-13,30.6,17.2,15.0,4.1
2023-07-14,31.7,19.4,15.6,0.8
2023-07-15,27.8,17.2,12.8,0.0
2023-07-16,26.7,16.1,10.0,0.0
2023-07-17,23.3,13.9,10.0,0.0
2023-07-18,28.9,15.6,11.1,0.0
2023-07-19,32.2,18.3,16.1,2.8
2023-07-20,26.7,17.8,13.9,0.0
2023-07-21,29.4,16.7,13.9,0.5
2023-07-22,31.1,17.8,15.0,0.0
2023-07-23,31.1,17.2,14.4,0.0
2023-07-24,32.2,18.9,16.7,0.3
2023-07-25,34.4,21.1,18.9,0.0
2023-07-26,33.9,19.4,20.0,26.9
2023-07-27,35.6,22.8,21.1,0.0
2023-07-28,32.2,20.6,18.9,15.5
2023-07-29,27.2,17.8,14.4,0.0
2023-07-30,27.2,17.8,12.8,0.0
2023-07-31,28.9,17.2,12.8,0.0
2023-08-01,30.0,18.9,16.1,0.0
2023-08-02,32.2,21.7,20.0,0.0
2023-08-03,35.0,23.3,19.4,1.3
2023-08-04,32.2,20.0,18.3,0.0
2023-08-05,28.9,22.2,17.2,1.0
2023-08-06,23.9,19.4,17.8,6.6
2023-08-07,28.9,17.2,14.4,0.0
2023-08-08,28.9,17.2,13.3,0.0
2023-08-09,27.8,18.3,15.0,0.0
2023-08-10,26.7,18.9,13.3,4.1
2023-08-11,30.6,18.3,17.2,8.9
2023-08-12,28.3,17.8,14.4,0.0
2023-08-13,22.8,17.8,16.1,30.0
2023-08-14,22.2,15.0,14.4,6.4
2023-08-15,27.8,12.8,13.9,0.0
2023-08-16,30.6,18.9,16.1,0.0
2023-08-17,24.4,17.2,11.1,0.0
2023-08-18,26.1,14.4,12.8,0.0
2023-08-19,32.8,19.4,18.9,0.0
2023-08-20,27.8,19.4,13.9,0.0
2023-08-21,25.6,18.3,16.7,0.0
2023-08-22,36.7,21.7,22.8,0.0
2023-08-23,36.7,26.1,23.3,0.0
2023-08-24,31.1,21.1,20.6,0.0
2023-08-25,32.8,21.1,17.8,0.0
2023-08-26,23.9,16.7,12.8,0.0
2023-08-27,26.1,13.3,12.2,0.0
2023-08-28,31.1,17.8,15.0,0.0
2023-08-29,29.4,17.8,13.9,0.0
2023-08-30,26.7,16.1,12.2,0.0
2023-08-31,28.3,15.6,8.9,0.0
2023-09-01,32.2,16.1,13.9,0.0
2023-09-02,32.8,22.2,16.1,0.0
2023-09-03,36.1,23.9,16.7,0.0
2023-09-04,36.7,23.3,15.6,0.0
2023-09-05,33.3,22.2,18.9,0.3
2023-09-06,22.2,15.0,13.9,0.0
2023-09-07,28.3,17.8,17.2,0.0
2023-09-08,25.6,11.1,10.6,0.0
2023-09-09,25.6,15.6,12.8,1.3
2023-09-10,22.8,14.4,11.7,0.0
2023-09-11,23.9,11.7,9.4,5.6
2023-09-12,20.0,10.6,9.4,0.0
2023-09-13,18.9,8.3,5.6,0.0
2023-09-14,28.3,10.6,7.8,0.0
2023-09-15,21.7,15.0,13.9,9.1
2023-09-16,23.3,11.7,11.1,0.0
2023-09-17,22.8,11.1,10.0,0.0
2023-09-18,25.0,12.2,9.4,0.0
2023-09-19,27.8,16.1,12.8,0.0
2023-09-20,30.6,15.6,13.3,0.0
2023-09-21,29.4,17.2,13.9,0.0
2023-09-22,24.4,18.3,15.0,0.0
2023-09-23,23.9,17.8,16.7,32.5
2023-09-24,22.8,16.7,15.6,5.6
2023-09-25,18.3,15.6,15.6,48.3
2023-09-26,19.4,16.1,15.0,0.3
2023-09-27,23.3,16.1,14.4,0.3
2023-09-28,22.8,16.7,14.4,0.0
2023-09-29,23.9,15.6,16.1,38.4
2023-09-30,31.1,19.4,18.9,3.8
2023-10-01,33.3,20.6,15.0,0.0
2023-10-02,31.7,19.4,13.3,0.0
2023-10-03,30.6,18.9,14.4,3.3
2023-10-04,18.9,13.3,11.7,0.0
2023-10-05,18.3,11.1,6.7,0.5
