Date,Max Temperature (C),Min Temperature (C),Humidity,Precipitation (mm)
2023-03-25,8.3,5.6,2.2,3.8
2023-03-26,17.2,6.7,-2.2,0.0
2023-03-27,16.7,6.1,-2.2,7.4
2023-03-28,11.1,5.6,-0.6,0.0
2023-03-29,12.8,3.9,-5.6,0.0
2023-03-30,7.8,-0.5,-10.6,0.3
2023-03-31,13.9,3.3,-0.6,0.0
2023-04-01,22.2,10.6,9.4,9.7
2023-04-02,10.6,4.4,-9.4,0.0
2023-04-03,15.0,3.9,-2.2,0.0
2023-04-04,22.8,8.9,9.4,0.0
2023-04-05,13.9,7.8,7.8,0.0
2023-04-06,26.7,8.3,10.0,0.0
2023-04-07,15.6,5.6,-8.3,0.0
2023-04-08,12.2,2.8,-7.8,0.0
2023-04-09,13.9,4.4,-3.9,0.0
2023-04-10,20.0,5.6,-1.7,0.0
2023-04-11,23.9,10.6,-3.9,0.0
2023-04-12,28.9,17.8,1.7,0.0
2023-04-13,32.2,19.4,5.6,0.0
2023-04-14,32.8,21.1,6.1,0.0
2023-04-15,23.9,15.0,14.4,0.5
2023-04-16,21.7,13.9,13.3,0.0
2023-04-17,20.0,11.7,7.2,0.0
2023-04-18,13.9,7.2,-1.7,0.0
2023-04-19,17.8,7.2,-1.1,0.0
2023-04-20,18.9,7.2,1.1,0.0
2023-04-21,21.7,10.6,7.2,0.0
2023-04-22,19.4,10.6,10.6,17.3
2023-04-23,20.6,10.0,8.3,38.4
2023-04-24,16.7,6.7,-0.6,0.0
2023-04-25,15.6,7.8,-1.1,0.0
2023-04-26,15.6,7.8,3.3,0.0
2023-04-27,13.9,9.4,6.7,0.0
2023-04-28,13.3,8.3,5.6,8.4
2023-04-29,11.7,8.3,9.4,62.5
2023-04-30,15.6,10.0,12.2,58.9
2023-05-01,16.1,9.4,3.9,2.3
2023-05-02,13.3,6.7,3.9,6.4
2023-05-03,13.9,8.3,3.3,0.0
2023-05-04,12.8,8.9,7.2,1.3
2023-05-05,18.9,8.9,6.1,0.0
2023-05-06,22.8,8.9,5.0,0.0
2023-05-07,25.6,12.2,6.1,0.5
2023-05-08,25.0,14.4,6.7,0.0
2023-05-09,21.7,12.2,0.6,0.0
2023-05-10,22.8,10.0,3.3,0.0
2023-05-11,26.7,13.9,3.9,0.0
2023-05-12,30.6,18.3,7.2,0.0
2023-05-13,27.8,18.9,7.8,0.0
2023-05-14,23.3,15.0,1.1,0.0
2023-05-15,23.3,11.1,0.6,0.0
2023-05-16,26.1,14.4,5.0,0.0
2023-05-17,20.6,10.0,-1.7,0.0
2023-05-18,16.1,6.1,0.0,0.0
2023-05-19,21.1,11.1,8.3,0.0
2023-05-20,18.3,13.9,15.0,19.6
2023-05-21,21.1,12.8,8.9,0.5
2023-05-22,23.9,13.9,10.0,0.0
2023-05-23,21.1,12.2,7.8,0.0
2023-05-24,25.0,11.7,6.7,2.0
2023-05-25,20.0,10.0,2.8,0.0
2023-05-26,22.2,11.7,2.2,0.0
2023-05-27,25.6,13.3,3.9,0.0
2023-05-28,26.1,15.0,4.4,0.0
2023-05-29,26.1,15.0,7.8,0.0
2023-05-30,22.2,12.8,7.8,0.0
2023-05-31,25.0,10.6,10.0,0.0
2023-06-01,30.6,15.0,12.2,0.0
2023-06-02,32.8,18.9,14.4,6.1
2023-06-03,20.6,12.2,12.2,0.0
2023-06-04,20.6,9.4,6.1,0.0
2023-06-05,24.4,13.3,6.7,0.0
2023-06-06,26.1,15.6,6.7,0.0
2023-06-07,20.6,13.9,5.0,0.0
