pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
ST,10/1/2023,79.5,-2.66,5.6,"Blanco, Dairon",680118,650633,home_run,hit_into_play,,,,,5,Dairon Blanco homers (3) on a fly ball to left center field.,R,R,R,KC,NYY,X,,fly_ball,0,1,2023,1.31,0.11,0.01,2.44,,,,2,4,Bot,43.38,48.25,,,669224,,,3.4076187680605288,-115.8107513,-0.450337244,11.267332055968849,20.21968929416235,-31.28202691,3.41,1.57,423,108.2,24,79.9,2599,6.3,716352,650633,669224,518934,672724,643396,683011,677592,664314,665828,54.17,0.983,1.921,2,1,0,3,6,31,2,Sweeper,3,0,3,0,0,4,4,0,Standard,Standard,61,0.057,1.017
ST,10/1/2023,80.8,-2.42,5.64,"Olivares, Edward",658668,650633,home_run,hit_into_play,,,,,8,Edward Olivares homers (12) on a fly ball to left center field.,R,R,R,KC,NYY,X,,fly_ball,2,2,2023,1.57,0.13,-0.01,2.2,,,,1,4,Bot,55.58,50.83,,,669224,,,2.380614818827118,-117.8444075,-1.37107288,14.29678697824068,20.450893317868434,-30.88515471,3.6,1.73,405,100.8,33,80.8,2623,5.9,716352,650633,669224,518934,672724,643396,683011,677592,664314,665828,54.56,0.48,0.928,2,1,0,3,6,29,5,Sweeper,2,0,2,0,0,3,3,0,Standard,Standard,60,0.079,1.021
SL,10/1/2023,77.9,-1.39,6.19,"Kiner-Falefa, Isiah",643396,425844,field_out,hit_into_play,,,,,12,Isiah Kiner-Falefa flies out to right fielder MJ Melendez.,R,R,R,KC,NYY,X,9,fly_ball,1,1,2023,1.67,0.04,1,2.36,,543309,,1,4,Top,171.06,120.38,,,521692,,,2.051646652340457,-113.5370301,-1.441209326,14.14985417373543,19.686768689600818,-31.7945318,3.25,1.46,227,79.5,50,77.5,2446,5.8,716352,425844,521692,668472,686681,672580,677951,658668,680118,669004,54.74,0.051,0.06,0,1,0,0,3,26,3,Slider,2,0,0,2,0,2,0,2,Standard,Standard,64,0.04,-0.338
FF,10/1/2023,90.1,-1.31,6.11,"Cabrera, Oswaldo",665828,425844,field_out,hit_into_play,,,,,3,Oswaldo Cabrera flies out to right fielder MJ Melendez.,R,L,R,KC,NYY,X,9,fly_ball,2,0,2023,-0.55,1.29,0.29,2.71,,,,0,2,Top,192.19,63.29,,,521692,,,5.130542376187104,-131.1010748,-5.239738426,-7.335033413,25.14738405543605,-16.39195614,3.24,1.53,371,98.1,39,90.3,2130,6.2,716352,425844,521692,668472,686681,672580,677951,658668,680118,669004,54.28,0.12,0.218,0,1,0,0,3,9,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,218,0.023,-0.339
FF,10/1/2023,95.2,-1.1,6.13,"Cabrera, Oswaldo",665828,664199,field_out,hit_into_play,,,,,4,Oswaldo Cabrera flies out to center fielder Dairon Blanco.,R,L,R,KC,NYY,X,8,fly_ball,1,0,2023,-0.51,1.31,-0.42,2.43,,,643396,2,6,Top,114.21,43.07,,,521692,,,2.8967341948818657,-138.5378678,-7.024530918,-7.159054948,29.855004743569467,-13.945133,3.24,1.53,387,100.6,32,95.3,2277,6.3,716352,664199,521692,668472,686681,672580,677951,658668,680118,669004,54.21,0.531,1.019,0,1,0,0,6,48,2,4-Seam Fastball,5,2,2,5,2,5,2,5,Infield shade,Standard,197,0.021,-0.266
FF,10/1/2023,94.9,-0.99,6.19,"Higashioka, Kyle",543309,664199,field_out,hit_into_play,,,,,11,Kyle Higashioka flies out to shortstop Bobby Witt Jr.,R,R,R,KC,NYY,X,6,fly_ball,3,2,2023,-0.44,1.22,-0.96,2.97,518934,669224,,1,6,Top,108.5,121.6,,,521692,,,1.0462331067274073,-138.2530897,-5.550065006,-5.868809915,27.88859760397135,-15.47487692,3.41,1.57,202,62.5,40,95.1,2220,6.1,716352,664199,521692,668472,686681,672580,677951,658668,680118,669004,54.36,0.389,0.35,0,1,0,0,3,46,7,4-Seam Fastball,5,0,0,5,0,5,0,5,Standard,Standard,198,0.035,-0.318
SI,10/1/2023,92.5,-2.69,5.64,"Melendez, MJ",669004,650633,home_run,hit_into_play,,,,,8,MJ Melendez homers (16) on a fly ball to left center field.,R,L,R,KC,NYY,X,,fly_ball,0,1,2023,-1.24,0.31,0.12,1.96,,,,0,2,Bot,68.41,40.77,,,669224,,,9.839346688286883,-134.3653157,-4.192480412,-17.1953796,30.315603071957764,-27.69795414,3.29,1.63,416,105.4,30,92,2090,6.2,716352,650633,669224,518934,672724,643396,683011,677592,664314,665828,54.31,0.86,1.697,2,1,0,3,6,12,2,Sinker,0,0,0,0,0,1,1,0,Standard,Standard,334,0.11,1.038
CU,10/1/2023,82.6,-1.49,5.74,"Perez, Salvador",521692,666745,sac_fly,hit_into_play,,,,,9,Salvador Perez out on a sacrifice fly to right fielder Oswaldo Cabrera.   Bobby Witt Jr.  scores.,R,R,R,KC,NYY,X,9,fly_ball,2,1,2023,1.44,-0.32,0.55,1.68,677951,,,0,5,Bot,164.98,68.06,,,669224,,,1.856691775751909,-120.4007098,-2.151782203,13.636657742601212,22.865849972014267,-35.05639768,3.57,1.65,338,92.2,35,83,2149,6.4,716352,666745,669224,518934,672724,643396,683011,677592,664314,665828,54.06,0.049,0.083,0,1,0,0,3,39,4,Curveball,4,0,4,0,0,5,5,0,Strategic,Standard,54,0.002,-0.297
FF,10/1/2023,94.4,-0.99,6.16,"Wells, Austin",669224,664199,double,hit_into_play,,,,,5,Austin Wells doubles (5) on a sharp fly ball to center fielder Dairon Blanco.   DJ LeMahieu to 3rd.,R,L,R,KC,NYY,X,8,fly_ball,2,2,2023,-0.46,1.46,0.03,2.89,,,518934,1,6,Top,82.92,42.9,,,521692,,,3.6772728844160363,-137.4665494,-6.087737073,-6.685533569,28.99912307514095,-12.49321933,3.53,1.63,400,103.4,24,94.5,2302,6.2,716352,664199,521692,668472,686681,672580,677951,658668,680118,669004,54.29,0.754,1.278,1.25,1,1,1,6,45,5,4-Seam Fastball,5,0,0,5,0,5,0,5,Infield shade,Standard,201,-0.038,0.973
SL,10/1/2023,88,-0.96,6.16,"Volpe, Anthony",683011,664199,field_out,hit_into_play,,,,,8,Anthony Volpe flies out to center fielder Dairon Blanco.,R,R,R,KC,NYY,X,8,fly_ball,0,1,2023,0.44,0.22,-0.04,1.58,,,518934,0,6,Top,138.25,57.61,,,521692,,,1.3173577512957042,-128.2423539,-5.542704032,4.655453809929412,24.61664077671291,-28.88465521,3.19,1.53,351,98.4,39,88.5,2284,6.4,716352,664199,521692,668472,686681,672580,677951,658668,680118,669004,54.15,0.12,0.218,0,1,0,0,3,44,2,Slider,5,0,0,5,0,5,0,5,Standard,Standard,168,0.017,-0.307
