pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,9/28/2023,93.2,-1.84,6.44,"Julien, Edouard",666397,665622,field_out,hit_into_play,,,,,3,Edouard Julien flies out to left fielder JJ Bleday.,R,L,R,MIN,OAK,X,7,fly_ball,2,1,2023,-0.36,1.34,0.47,2.94,,,572191,2,5,Bot,94.72,104.94,,,669127,,,6.769057576553384,-135.5496093,-6.21035361,-5.995377557,30.046467473653408,-14.49173807,3.37,1.72,249,75.3,38,93.8,2198,6.7,716400,665622,669127,676116,680869,649557,669397,668709,671732,667670,53.83,0.157,0.152,0,1,0,0,3,38,4,4-Seam Fastball,0,1,0,1,1,0,0,1,Infield shade,Standard,205,-0.036,-0.254
FF,9/28/2023,93.3,-0.8,5.5,"Díaz, Aledmys",649557,543243,field_out,hit_into_play,,,,,9,Aledmys Diaz flies out to right fielder Trevor Larnach.,R,R,R,MIN,OAK,X,9,fly_ball,0,0,2023,0.15,1.11,0.51,2.21,,,668709,2,4,Top,172.18,81.95,,,680777,,,3.0763890303006445,-135.9225883,-5.245098183,1.289320170541216,27.910522510417366,-17.48501019,3.45,1.66,312,97.1,38,94.3,2570,6.7,716400,543243,680777,666135,456781,650489,571657,670242,572191,663616,53.83,0.123,0.228,0,1,0,0,3,28,1,4-Seam Fastball,0,1,1,0,1,0,1,0,Infield shade,Standard,198,0.024,-0.241
SL,9/28/2023,81,-1.92,5.73,"Noda, Ryan",676116,628317,home_run,hit_into_play,,,,,5,Ryan Noda homers (16) on a fly ball to right field.,R,L,R,MIN,OAK,X,,fly_ball,2,2,2023,0.59,0.13,0.15,2.26,,,,0,8,Top,214.39,60.71,,,680777,,,3.480523618,-118.0189443,-1.395816586,4.865290380627281,22.48827102157482,-30.87220339,3.47,1.69,404,102.4,32,80.7,2550,6,716400,628317,680777,666135,456781,650489,571657,670242,572191,663616,54.49,0.577,1.125,2,1,0,3,6,58,5,Slider,1,1,1,1,2,1,2,1,Infield shade,Standard,80,-0.253,1.024
SL,9/28/2023,84.6,-2.41,6,"Castro, Willi",650489,665622,field_out,hit_into_play,,,,,9,Willi Castro flies out to right fielder Brent Rooker.,R,L,R,MIN,OAK,X,9,fly_ball,3,2,2023,0.38,-0.06,0.35,1.83,,,,1,3,Bot,163.93,68.82,,,669127,,,5.712099405900602,-123.1072214,-3.269855573,2.742725118863702,24.921925628878455,-32.30003792,3.5,1.62,335,99.9,41,85.2,2214,6.7,716400,665622,669127,676116,680869,649557,669397,668709,671732,667670,53.81,0.1,0.18,0,1,0,0,3,23,8,Slider,0,1,0,1,1,0,0,1,Standard,Standard,90,-0.019,-0.207
FF,9/28/2023,91.6,-1.77,5.82,"Bleday, JJ",668709,628317,field_out,hit_into_play,,,,,5,JJ Bleday flies out to left fielder Matt Wallner.,R,L,R,MIN,OAK,X,7,fly_ball,2,1,2023,-0.58,1.39,0.12,2.37,,691016,669127,2,6,Top,95.56,111.25,,,680777,,,6.010240147435847,-133.193672,-5.865339026,-8.187550124,27.410635508133893,-14.5437562,3.51,1.74,225,96.3,59,91.6,2342,6.2,716400,628317,680777,666135,456781,650489,571657,670242,572191,663616,54.29,0.026,0.025,0,1,0,0,3,43,4,4-Seam Fastball,0,1,1,0,1,0,1,0,Strategic,Standard,213,0.047,-0.487
FC,9/28/2023,89.3,-0.89,5.57,"Allen, Nick",669397,543243,single,hit_into_play,,,,,6,Nick Allen singles on a fly ball to right fielder Trevor Larnach.   JJ Bleday scores.,R,R,R,MIN,OAK,X,9,fly_ball,2,0,2023,0.89,-0.02,0.77,2.24,,668709,,2,2,Top,183.24,136.22,,,680777,,,2.2217196368874017,-130.0973349,-2.148506573,9.633126837660424,26.764765920852362,-32.20491271,2.99,1.39,191,63.7,30,89.9,2780,6.6,716400,543243,680777,666135,456781,650489,571657,670242,572191,663616,53.93,0.823,0.76,0.9,1,1,0,4,12,3,Cutter,0,0,0,0,1,0,1,0,Standard,Standard,146,-0.101,0.693
SI,9/28/2023,98.3,-2.01,6.24,"Taylor, Michael A.",572191,668674,field_out,hit_into_play,,,,,5,Michael A.   Taylor flies out to right fielder Brent Rooker.,R,R,R,MIN,OAK,X,9,fly_ball,0,0,2023,-1.18,1.05,-0.25,2.22,,,663616,1,7,Bot,182.55,72.08,,,669127,,,7.5412147792750615,-142.7860983,-7.874548468,-17.93056383,33.13532216774458,-16.11911549,3.48,1.63,343,93.1,27,98.7,1798,6.7,716400,668674,669127,676116,680869,649557,669397,668709,671732,667670,53.85,0.109,0.137,0,1,0,0,3,54,1,Sinker,1,1,1,1,1,1,1,1,Standard,Standard,227,-0.048,-0.303
FF,9/28/2023,99.1,-1.92,6.25,"Farmer, Kyle",571657,668674,field_out,hit_into_play,,,,,8,Kyle Farmer flies out to center fielder Lawrence Butler.,R,R,R,MIN,OAK,X,8,fly_ball,2,2,2023,-1.07,1.29,0.01,2.11,,,663616,0,7,Bot,155.9,68.25,,,669127,,,7.839502129941255,-143.8321,-8.930436135,-16.63646761,33.62661781021365,-12.31716879,3.41,1.57,344,96.2,25,99.6,1896,6.7,716400,668674,669127,676116,680869,649557,669397,668709,671732,667670,53.75,0.254,0.373,0,1,0,0,5,53,10,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard,218,-0.054,-0.323
SI,9/28/2023,93.8,-0.69,5.58,"Rooker, Brent",667670,543243,field_out,hit_into_play,,,,,6,Brent Rooker flies out sharply to right fielder Trevor Larnach.,R,R,R,MIN,OAK,X,9,fly_ball,2,2,2023,-0.6,0.94,0.66,2.37,,,680869,1,1,Top,207.65,92.96,,,680777,,,4.853257476475314,-136.4785644,-4.673221787,-8.53387962,30.53558938171349,-19.61345401,3.64,1.72,326,100.1,41,94.3,2538,6.6,716400,543243,680777,666135,456781,650489,571657,670242,572191,663616,53.9,0.1,0.18,0,1,0,0,3,3,6,Sinker,0,0,0,0,0,0,0,0,Infield shade,Standard,190,0.028,-0.274
FF,9/28/2023,93,-2.29,6.5,"Solano, Donovan",456781,665622,field_out,hit_into_play,,,,,4,Donovan Solano flies out to right fielder Brent Rooker in foul territory.,R,R,R,MIN,OAK,X,9,fly_ball,0,0,2023,-0.52,1.49,-0.59,2.5,,,650489,1,1,Bot,203.67,150.2,,,669127,,,5.491850753691539,-135.0858605,-7.722876266,-7.566794032,30.714645857578102,-12.43706284,3.23,1.49,255,86.4,46,92.9,2250,6.4,716400,665622,669127,676116,680869,649557,669397,668709,671732,667670,54.05,0.006,0.005,0,1,0,0,3,7,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,214,-0.028,-0.303
