"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"FF","2023-09-25","90.8","-1.75","5.59","LeMahieu, DJ",518934,518876,"field_out","hit_into_play",,,,,11,"DJ LeMahieu flies out to center fielder Alek Thomas.   Everson Pereira to 3rd.","R","R","R","NYY","AZ","X",8,"fly_ball",0,2,2023,"-0.81","1.27","-0.39","3.5",,677592,,1,5,"Bot",155.53,53.84,,,672515,,,5.119134291971658,-132.24219535206117,-2.0359934684111356,-10.55089074187382,28.178127413581677,-17.06184166207802,"3.24","1.52",367,"96.5",28,"90.6",2214,"6.1",716471,518876,672515,572233,672695,656896,691783,666971,677950,682998,"54.36",0.329,0.545,"0",1,0,0,5,42,3,"4-Seam Fastball",2,2,2,2,2,2,2,2,"Standard","Standard",221,"-0.04","-0.224"
"FF","2023-09-25","90.1","-1.63","5.71","Wells, Austin",669224,518876,"home_run","hit_into_play",,,,,6,"Austin Wells homers (2) on a fly ball to center field.   Gleyber Torres scores.","R","L","R","NYY","AZ","X",,"fly_ball",0,1,2023,"-0.53","1.39","0.53","2.35",,650402,,0,4,"Bot",165.44,33.39,,,672515,,,6.4412149658775775,-130.99947856007284,-5.317627791943154,-7.439315023911364,26.619237860321235,-15.236384264184096,"3.5","1.61",408,"107.8",28,"89.8",2320,"6.1",716471,518876,672515,572233,672695,656896,691783,666971,677950,682998,"54.42",0.96,1.919,"2",1,0,3,6,32,2,"4-Seam Fastball",0,2,0,2,2,2,2,2,"Standard","Standard",215,"0.183","1.423"
"FF","2023-09-25","91.7","-1.66","5.46","Pereira, Everson",677592,518876,"field_out","hit_into_play",,,,,6,"Everson Pereira flies out to center fielder Alek Thomas.","R","R","R","NYY","AZ","X",8,"fly_ball",0,0,2023,"-0.68","1.4","0.38","2.37",,,664314,0,3,"Bot",124.27,108.92,,,672515,,,6.645364460965313,-133.28943101148084,-4.9626685036461495,-9.6090951336338,29.47759956210155,-14.61769352425548,"3.23","1.49",227,"97.6",55,"91.9",2244,"6.5",716471,518876,672515,572233,672695,656896,691783,666971,677950,682998,"53.99",0.009,0.008,"0",1,0,0,3,23,1,"4-Seam Fastball",0,2,0,2,2,0,0,2,"Standard","Standard",227,"-0.04","-0.361"
"ST","2023-09-25","85.1","-2.02","5.52","Thomas, Alek",677950,657376,"field_out","hit_into_play",,,,,5,"Alek Thomas flies out sharply to center fielder Estevan Florial.","R","L","R","NYY","AZ","X",8,"fly_ball",0,0,2023,"0.84","0.29","-0.07","2.31",,682998,572233,2,3,"Top",117.42,48.7,,,669224,,,2.914837987296637,-123.90554246320367,-1.7304882925436393,7.852224903811254,28.152208933694986,-29.018295834960647,"3.26","1.5",372,"101.8",27,"85.1",2910,"6.6",716471,657376,669224,518934,650402,672724,683011,677592,664314,665828,"53.9",0.723,1.326,"0",1,0,0,6,21,1,"Sweeper",0,2,2,0,2,0,2,0,"Standard","Standard",86,"0.033","-0.471"
"ST","2023-09-25","85.1","-1.89","5.43","Rivera, Emmanuel",656896,657376,"field_out","hit_into_play",,,,,9,"Emmanuel Rivera flies out to center fielder Estevan Florial.","R","R","R","NYY","AZ","X",8,"fly_ball",2,2,2023,"0.55","0.6","0.43","2.21",,,,0,2,"Top",137.45,65.96,,,669224,,,4.357021438272949,-123.89715339292694,-2.4759305667200824,4.808926740153874,24.324598848613835,-25.66958181151936,"3.5","1.66",331,"91.3",28,"85.4",2839,"6.4",716471,657376,669224,518934,650402,672724,683011,677592,664314,665828,"54.06",0.069,0.085,"0",1,0,0,3,11,7,"Sweeper",0,2,2,0,2,0,2,0,"Standard","Standard",116,"0.017","-0.214"
"FF","2023-09-25","95.7","-2.22","6.44","Florial, Estevan",664314,656464,"sac_fly","hit_into_play",,,,,6,"Estevan Florial out on a sacrifice fly to left fielder Corbin Carroll.   Austin Wells scores.","R","L","R","NYY","AZ","X",7,"fly_ball",2,1,2023,"-0.61","1.49","0.37","2.65",669224,683011,672724,1,8,"Bot",96.91,109.65,,,672515,,,8.311867295759653,-138.9153760259794,-7.842409228194793,-9.738187481074004,31.517718051152208,-11.232293525981854,"3.61","1.71",289,"83.9",36,"97",2375,"7.2",716471,656464,672515,572233,606466,656896,672695,682998,677950,664983,"53.31",0.014,0.015,"0",1,0,0,3,73,4,"4-Seam Fastball",4,4,4,4,4,5,5,4,"Standard","Standard",219,"0.094","-0.439"
"SI","2023-09-25","95.8","-3.7","5.11","Gurriel Jr., Lourdes",666971,669711,"field_out","hit_into_play",,,,,4,"Lourdes Gurriel Jr.  flies out to center fielder Estevan Florial.","R","R","R","NYY","AZ","X",8,"fly_ball",3,2,2023,"-1.52","0.45","-0.81","2.68",,,,0,6,"Top",101.19,74.28,,,669224,,,11.005589558327063,-139.1186925570594,-1.8658195482144027,-22.15071920706627,27.891167972535094,-26.025974843180183,"3.63","1.72",316,"90.2",35,"95.7",2042,"6.1",716471,669711,669224,518934,650402,672724,683011,677592,664314,665828,"54.38",0.031,0.047,"0",1,0,0,3,44,6,"Sinker",2,2,2,2,2,2,2,2,"Standard","Standard",230,"0.033","-0.317"
"SI","2023-09-25","90","-3.27","3.9","Judge, Aaron",592450,657044,"field_out","hit_into_play",,,,,5,"Aaron Judge flies out sharply to center fielder Alek Thomas.","R","R","R","NYY","AZ","X",8,"fly_ball",0,1,2023,"-1.44","-0.37","0.07","2.93",,,518934,2,7,"Bot",148.92,38.62,,,672515,,,11.389163141554247,-130.47923967228883,4.416265260506163,-18.873044357445913,27.817496016081858,-37.626944451205276,"3.97","1.85",399,"112.2",37,"90.3",1914,"6.7",716471,657044,672515,572233,672695,656896,691783,666971,677950,682998,"53.82",0.837,1.713,"0",1,0,0,6,60,2,"Sinker",3,3,3,3,3,3,3,3,"Infield shade","Standard",276,"-0.041","-0.203"
"FC","2023-09-25","92.2","-1.93","5.63","Pham, Tommy",502054,657376,"field_out","hit_into_play",,,,,2,"Tommy Pham flies out to left fielder Everson Pereira.","R","R","R","NYY","AZ","X",7,"fly_ball",2,1,2023,"-0.16","1.03","0.15","3.16",,,672515,1,1,"Top",83.73,72.82,,,669224,,,5.620256503888214,-134.028131491969,-2.5885287746284815,-3.292924740263335,34.61055260343922,-19.464459639972375,"3.5","1.63",329,"92.3",40,"91.4",2518,"6.3",716471,657376,669224,518934,650402,672724,683011,677592,664314,665828,"54.22",0.02,0.033,"0",1,0,0,3,3,4,"Cutter",0,0,0,0,0,0,0,0,"Standard","Standard",204,"0.028","-0.337"
"SI","2023-09-25","89.4","-3.42","3.91","Peraza, Oswald",672724,657044,"home_run","hit_into_play",,,,,5,"Oswald Peraza homers (2) on a fly ball to left center field.","R","R","R","NYY","AZ","X",,"fly_ball",1,0,2023,"-1.35","-0.59","-0.22","2.35",,,,0,7,"Bot",62.23,30.6,,,672515,,,10.742827499387364,-129.6728916359943,3.518591894720888,-17.51996917963321,28.609890088807344,-39.9022328359598,"3.21","1.46",443,"110.6",23,"89.2",1941,"6.5",716471,657044,672515,572233,672695,656896,691783,666971,677950,682998,"54",0.983,1.893,"2",1,0,3,6,56,2,"Sinker",2,3,2,3,3,3,3,3,"Standard","Standard",275,"0.232","0.964"
