,ANA,ARI,ATL,BAL,BOS,CHC,CHW,CIN,CLE,COL,DET,FLA,HOU,KCR,LAD,MIL,MIN,MON,NYM,NYY,OAK,PHI,PIT,SDP,SEA,SFG,STL,TBD,TEX,TOR
ANA,0.0,0.0,0.0,0.05555555555555555,0.05555555555555555,0.018518518518518517,0.05555555555555555,0.0,0.05555555555555555,0.0,0.05555555555555555,0.0,0.018518518518518517,0.043209876543209874,0.037037037037037035,0.018518518518518517,0.05555555555555555,0.0,0.0,0.05555555555555555,0.11728395061728394,0.0,0.018518518518518517,0.0,0.12345679012345678,0.0,0.0,0.043209876543209874,0.11728395061728394,0.05555555555555555
ARI,0.0,0.0,0.037037037037037035,0.018518518518518517,0.0,0.037037037037037035,0.0,0.037037037037037035,0.0,0.11728395061728394,0.018518518518518517,0.043209876543209874,0.037037037037037035,0.0,0.11728395061728394,0.037037037037037035,0.018518518518518517,0.037037037037037035,0.043209876543209874,0.018518518518518517,0.0,0.037037037037037035,0.037037037037037035,0.11728395061728394,0.0,0.11728395061728394,0.037037037037037035,0.018518518518518517,0.0,0.018518518518518517
ATL,0.0,0.037037037037037035,0.0,0.018518518518518517,0.018518518518518517,0.037037037037037035,0.018518518518518517,0.037037037037037035,0.018518518518518517,0.037037037037037035,0.018518518518518517,0.11728395061728394,0.037037037037037035,0.018518518518518517,0.043209876543209874,0.037037037037037035,0.0,0.11728395061728394,0.11728395061728394,0.0,0.0,0.11728395061728394,0.037037037037037035,0.037037037037037035,0.0,0.043209876543209874,0.037037037037037035,0.0,0.0,0.0
BAL,0.05555555555555555,0.018518518518518517,0.018518518518518517,0.0,0.11728395061728394,0.0,0.037037037037037035,0.0,0.037037037037037035,0.018518518518518517,0.037037037037037035,0.0,0.0,0.05555555555555555,0.018518518518518517,0.0,0.05555555555555555,0.0,0.0,0.11728395061728394,0.043209876543209874,0.018518518518518517,0.0,0.0,0.05555555555555555,0.018518518518518517,0.0,0.11728395061728394,0.043209876543209874,0.11728395061728394
BOS,0.05555555555555555,0.0,0.018518518518518517,0.11728395061728394,0.0,0.0,0.037037037037037035,0.0,0.043209876543209874,0.018518518518518517,0.043209876543209874,0.0,0.0,0.037037037037037035,0.018518518518518517,0.0,0.037037037037037035,0.0,0.0,0.11728395061728394,0.05555555555555555,0.018518518518518517,0.0,0.018518518518518517,0.05555555555555555,0.018518518518518517,0.0,0.11728395061728394,0.05555555555555555,0.11728395061728394
CHC,0.018518518518518517,0.037037037037037035,0.037037037037037035,0.0,0.0,0.0,0.037037037037037035,0.10493827160493827,0.0,0.037037037037037035,0.0,0.037037037037037035,0.11728395061728394,0.0,0.037037037037037035,0.10493827160493827,0.0,0.037037037037037035,0.037037037037037035,0.0,0.018518518518518517,0.037037037037037035,0.1111111111111111,0.037037037037037035,0.0,0.037037037037037035,0.11728395061728394,0.0,0.0,0.0
CHW,0.05555555555555555,0.0,0.018518518518518517,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.0,0.0,0.11728395061728394,0.0,0.11728395061728394,0.018518518518518517,0.0,0.11728395061728394,0.0,0.0,0.11728395061728394,0.018518518518518517,0.0,0.043209876543209874,0.05555555555555555,0.018518518518518517,0.0,0.0,0.05555555555555555,0.0,0.0,0.037037037037037035,0.05555555555555555,0.043209876543209874
CIN,0.0,0.037037037037037035,0.037037037037037035,0.0,0.0,0.10493827160493827,0.0,0.0,0.037037037037037035,0.037037037037037035,0.0,0.037037037037037035,0.10493827160493827,0.0,0.037037037037037035,0.1111111111111111,0.0,0.037037037037037035,0.037037037037037035,0.0,0.018518518518518517,0.037037037037037035,0.11728395061728394,0.037037037037037035,0.0,0.037037037037037035,0.11728395061728394,0.0,0.018518518518518517,0.0
CLE,0.05555555555555555,0.0,0.018518518518518517,0.037037037037037035,0.043209876543209874,0.0,0.11728395061728394,0.037037037037037035,0.0,0.018518518518518517,0.11728395061728394,0.018518518518518517,0.0,0.11728395061728394,0.0,0.0,0.11728395061728394,0.0,0.018518518518518517,0.037037037037037035,0.05555555555555555,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.037037037037037035,0.05555555555555555,0.043209876543209874
COL,0.0,0.11728395061728394,0.037037037037037035,0.018518518518518517,0.018518518518518517,0.037037037037037035,0.0,0.037037037037037035,0.018518518518518517,0.0,0.018518518518518517,0.037037037037037035,0.037037037037037035,0.0,0.11728395061728394,0.037037037037037035,0.0,0.037037037037037035,0.037037037037037035,0.018518518518518517,0.0,0.04938271604938271,0.037037037037037035,0.11728395061728394,0.0,0.11728395061728394,0.037037037037037035,0.018518518518518517,0.0,0.0
