,ARI,ATL,BAL,BOS,CHC,CHW,CIN,CLE,COL,DET,FLA,HOU,KCR,LAA,LAD,MIL,MIN,NYM,NYY,OAK,PHI,PIT,SDP,SEA,SFG,STL,TBD,TEX,TOR,WSN
ARI,0.0,0.037037037037037035,0.0,0.0,0.043209876543209874,0.018518518518518517,0.037037037037037035,0.018518518518518517,0.1111111111111111,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.018518518518518517,0.0,0.1111111111111111,0.037037037037037035,0.018518518518518517,0.043209876543209874,0.0,0.0,0.043209876543209874,0.043209876543209874,0.11728395061728394,0.0,0.1111111111111111,0.043209876543209874,0.0,0.0,0.0,0.037037037037037035
ATL,0.037037037037037035,0.0,0.018518518518518517,0.018518518518518517,0.043209876543209874,0.0,0.06172839506172839,0.0,0.037037037037037035,0.0,0.1111111111111111,0.037037037037037035,0.0,0.018518518518518517,0.037037037037037035,0.037037037037037035,0.0,0.11728395061728394,0.0,0.018518518518518517,0.11728395061728394,0.043209876543209874,0.037037037037037035,0.0,0.037037037037037035,0.037037037037037035,0.0,0.018518518518518517,0.0,0.11728395061728394
BAL,0.0,0.018518518518518517,0.0,0.1111111111111111,0.0,0.04938271604938271,0.018518518518518517,0.043209876543209874,0.018518518518518517,0.04938271604938271,0.0,0.018518518518518517,0.037037037037037035,0.037037037037037035,0.0,0.0,0.037037037037037035,0.0,0.1111111111111111,0.06172839506172839,0.018518518518518517,0.018518518518518517,0.0,0.06172839506172839,0.0,0.0,0.1111111111111111,0.06172839506172839,0.11728395061728394,0.0
BOS,0.0,0.018518518518518517,0.1111111111111111,0.0,0.018518518518518517,0.043209876543209874,0.018518518518518517,0.037037037037037035,0.0,0.06172839506172839,0.0,0.0,0.037037037037037035,0.06172839506172839,0.0,0.0,0.037037037037037035,0.0,0.11728395061728394,0.06172839506172839,0.018518518518518517,0.018518518518518517,0.0,0.037037037037037035,0.0,0.018518518518518517,0.11728395061728394,0.05555555555555555,0.1111111111111111,0.0
CHC,0.043209876543209874,0.043209876543209874,0.0,0.018518518518518517,0.0,0.037037037037037035,0.09259259259259259,0.0,0.043209876543209874,0.0,0.05555555555555555,0.09876543209876543,0.0,0.0,0.037037037037037035,0.09876543209876543,0.0,0.037037037037037035,0.018518518518518517,0.0,0.037037037037037035,0.09876543209876543,0.043209876543209874,0.0,0.043209876543209874,0.09876543209876543,0.0,0.0,0.018518518518518517,0.037037037037037035
CHW,0.018518518518518517,0.0,0.04938271604938271,0.043209876543209874,0.037037037037037035,0.0,0.0,0.11728395061728394,0.018518518518518517,0.11728395061728394,0.0,0.0,0.1111111111111111,0.06172839506172839,0.018518518518518517,0.0,0.1111111111111111,0.0,0.037037037037037035,0.05555555555555555,0.0,0.0,0.018518518518518517,0.05555555555555555,0.0,0.0,0.037037037037037035,0.05555555555555555,0.037037037037037035,0.0
CIN,0.037037037037037035,0.06172839506172839,0.018518518518518517,0.018518518518518517,0.09259259259259259,0.0,0.0,0.037037037037037035,0.037037037037037035,0.0,0.037037037037037035,0.10493827160493827,0.0,0.0,0.043209876543209874,0.09876543209876543,0.0,0.037037037037037035,0.0,0.0,0.043209876543209874,0.09876543209876543,0.037037037037037035,0.0,0.04938271604938271,0.09876543209876543,0.018518518518518517,0.0,0.0,0.037037037037037035
CLE,0.018518518518518517,0.0,0.043209876543209874,0.037037037037037035,0.0,0.11728395061728394,0.037037037037037035,0.0,0.018518518518518517,0.1111111111111111,0.0,0.0,0.11728395061728394,0.04938271604938271,0.0,0.0,0.11728395061728394,0.0,0.043209876543209874,0.05555555555555555,0.0,0.0,0.018518518518518517,0.06172839506172839,0.018518518518518517,0.0,0.06172839506172839,0.037037037037037035,0.037037037037037035,0.0
COL,0.1111111111111111,0.037037037037037035,0.018518518518518517,0.0,0.043209876543209874,0.018518518518518517,0.037037037037037035,0.018518518518518517,0.0,0.018518518518518517,0.037037037037037035,0.037037037037037035,0.018518518518518517,0.0,0.11728395061728394,0.037037037037037035,0.0,0.043209876543209874,0.0,0.0,0.037037037037037035,0.06172839506172839,0.1111111111111111,0.0,0.1111111111111111,0.04938271604938271,0.0,0.0,0.0,0.037037037037037035
DET,0.037037037037037035,0.0,0.04938271604938271,0.06172839506172839,0.0,0.11728395061728394,0.0,0.1111111111111111,0.018518518518518517,0.0,0.0,0.0,0.11728395061728394,0.06172839506172839,0.018518518518518517,0.0,0.11728395061728394,0.0,0.037037037037037035,0.037037037037037035,0.0,0.0,0.018518518518518517,0.05555555555555555,0.018518518518518517,0.0,0.043209876543209874,0.037037037037037035,0.043209876543209874,0.0
