,ARI,ATL,BAL,BOS,CHC,CHW,CIN,CLE,COL,DET,FLA,HOU,KCR,LAA,LAD,MIL,MIN,NYM,NYY,OAK,PHI,PIT,SDP,SEA,SFG,STL,TBR,TEX,TOR,WSN
ARI,0.0,0.043209876543209874,0.0,0.018518518518518517,0.043209876543209874,0.0,0.043209876543209874,0.0,0.1111111111111111,0.018518518518518517,0.037037037037037035,0.043209876543209874,0.0,0.0,0.1111111111111111,0.043209876543209874,0.0,0.037037037037037035,0.018518518518518517,0.0,0.037037037037037035,0.037037037037037035,0.1111111111111111,0.0,0.1111111111111111,0.05555555555555555,0.018518518518518517,0.0,0.018518518518518517,0.043209876543209874
ATL,0.043209876543209874,0.0,0.0,0.0,0.037037037037037035,0.018518518518518517,0.030864197530864196,0.0,0.037037037037037035,0.018518518518518517,0.1111111111111111,0.037037037037037035,0.018518518518518517,0.0,0.04938271604938271,0.043209876543209874,0.018518518518518517,0.1111111111111111,0.0,0.0,0.1111111111111111,0.05555555555555555,0.037037037037037035,0.0,0.043209876543209874,0.04938271604938271,0.018518518518518517,0.0,0.0,0.1111111111111111
BAL,0.0,0.0,0.0,0.1111111111111111,0.0,0.043209876543209874,0.0,0.037037037037037035,0.0,0.06172839506172839,0.018518518518518517,0.0,0.037037037037037035,0.037037037037037035,0.0,0.0,0.04938271604938271,0.018518518518518517,0.1111111111111111,0.06172839506172839,0.0,0.0,0.018518518518518517,0.05555555555555555,0.018518518518518517,0.0,0.1111111111111111,0.06172839506172839,0.1111111111111111,0.037037037037037035
BOS,0.018518518518518517,0.0,0.1111111111111111,0.0,0.0,0.043209876543209874,0.0,0.04938271604938271,0.018518518518518517,0.037037037037037035,0.0,0.0,0.043209876543209874,0.06172839506172839,0.018518518518518517,0.0,0.030864197530864196,0.0,0.1111111111111111,0.05555555555555555,0.037037037037037035,0.0,0.0,0.06172839506172839,0.018518518518518517,0.0,0.1111111111111111,0.06172839506172839,0.1111111111111111,0.0
CHC,0.043209876543209874,0.037037037037037035,0.0,0.0,0.0,0.037037037037037035,0.09876543209876543,0.0,0.030864197530864196,0.0,0.037037037037037035,0.1111111111111111,0.0,0.018518518518518517,0.043209876543209874,0.09259259259259259,0.0,0.043209876543209874,0.0,0.018518518518518517,0.037037037037037035,0.09259259259259259,0.04938271604938271,0.018518518518518517,0.043209876543209874,0.09259259259259259,0.0,0.018518518518518517,0.0,0.037037037037037035
CHW,0.0,0.018518518518518517,0.043209876543209874,0.043209876543209874,0.037037037037037035,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.018518518518518517,0.0,0.1111111111111111,0.05555555555555555,0.0,0.0,0.1111111111111111,0.0,0.037037037037037035,0.05555555555555555,0.0,0.018518518518518517,0.0,0.06172839506172839,0.0,0.0,0.043209876543209874,0.05555555555555555,0.04938271604938271,0.018518518518518517
CIN,0.043209876543209874,0.030864197530864196,0.0,0.0,0.09876543209876543,0.0,0.0,0.037037037037037035,0.043209876543209874,0.0,0.043209876543209874,0.09259259259259259,0.018518518518518517,0.0,0.05555555555555555,0.08641975308641975,0.0,0.037037037037037035,0.0,0.018518518518518517,0.043209876543209874,0.09876543209876543,0.037037037037037035,0.018518518518518517,0.043209876543209874,0.1111111111111111,0.0,0.0,0.0,0.043209876543209874
CLE,0.0,0.0,0.037037037037037035,0.04938271604938271,0.0,0.1111111111111111,0.037037037037037035,0.0,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.05555555555555555,0.0,0.0,0.1111111111111111,0.018518518518518517,0.04938271604938271,0.05555555555555555,0.018518518518518517,0.018518518518518517,0.0,0.043209876543209874,0.0,0.0,0.05555555555555555,0.037037037037037035,0.06172839506172839,0.018518518518518517
COL,0.1111111111111111,0.037037037037037035,0.0,0.018518518518518517,0.030864197530864196,0.0,0.043209876543209874,0.0,0.0,0.0,0.043209876543209874,0.037037037037037035,0.018518518518518517,0.018518518518518517,0.1111111111111111,0.05555555555555555,0.018518518518518517,0.037037037037037035,0.0,0.0,0.043209876543209874,0.043209876543209874,0.1111111111111111,0.0,0.1111111111111111,0.043209876543209874,0.0,0.0,0.018518518518518517,0.04938271604938271
DET,0.018518518518518517,0.018518518518518517,0.06172839506172839,0.037037037037037035,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.1111111111111111,0.06172839506172839,0.018518518518518517,0.0,0.1111111111111111,0.018518518518518517,0.04938271604938271,0.037037037037037035,0.0,0.018518518518518517,0.0,0.04938271604938271,0.0,0.0,0.043209876543209874,0.05555555555555555,0.04938271604938271,0.018518518518518517
FLA,0.037037037037037035,0.1111111111111111,0.018518518518518517,0.0,0.037037037037037035,0.018518518518518517,0.043209876543209874,0.0,0.043209876543209874,0.0,0.0,0.037037037037037035,0.0,0.0,0.037037037037037035,0.04938271604938271,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.04938271604938271,0.05555555555555555,0.0,0.043209876543209874,0.030864197530864196,0.037037037037037035,0.018518518518518517,0.0,0.1111111111111111
HOU,0.043209876543209874,0.037037037037037035,0.0,0.0,0.1111111111111111,0.0,0.09259259259259259,0.0,0.037037037037037035,0.0,0.037037037037037035,0.0,0.018518518518518517,0.0,0.037037037037037035,0.09259259259259259,0.0,0.043209876543209874,0.018518518518518517,0.0,0.043209876543209874,0.09259259259259259,0.043209876543209874,0.0,0.05555555555555555,0.09259259259259259,0.018518518518518517,0.037037037037037035,0.0,0.04938271604938271
KCR,0.0,0.018518518518518517,0.037037037037037035,0.043209876543209874,0.0,0.1111111111111111,0.018518518518518517,0.1111111111111111,0.018518518518518517,0.1111111111111111,0.0,0.018518518518518517,0.0,0.06172839506172839,0.0,0.0,0.1111111111111111,0.0,0.04938271604938271,0.05555555555555555,0.0,0.0,0.0,0.05555555555555555,0.0,0.018518518518518517,0.04938271604938271,0.05555555555555555,0.037037037037037035,0.018518518518518517
LAA,0.0,0.0,0.037037037037037035,0.06172839506172839,0.018518518518518517,0.05555555555555555,0.0,0.05555555555555555,0.018518518518518517,0.06172839506172839,0.0,0.0,0.06172839506172839,0.0,0.037037037037037035,0.018518518518518517,0.043209876543209874,0.0,0.04938271604938271,0.11728395061728394,0.0,0.0,0.0,0.11728395061728394,0.0,0.018518518518518517,0.05555555555555555,0.11728395061728394,0.05555555555555555,0.0
LAD,0.1111111111111111,0.04938271604938271,0.0,0.018518518518518517,0.043209876543209874,0.0,0.05555555555555555,0.0,0.1111111111111111,0.018518518518518517,0.037037037037037035,0.037037037037037035,0.0,0.037037037037037035,0.0,0.037037037037037035,0.0,0.043209876543209874,0.018518518518518517,0.0,0.037037037037037035,0.043209876543209874,0.1111111111111111,0.0,0.1111111111111111,0.043209876543209874,0.0,0.0,0.0,0.037037037037037035
