,ARI,ATL,BAL,BOS,CHC,CHW,CIN,CLE,COL,DET,HOU,KCR,LAA,LAD,MIA,MIL,MIN,NYM,NYY,OAK,PHI,PIT,SDP,SEA,SFG,STL,TBR,TEX,TOR,WSN
ARI,0.0,0.043209876543209874,0.018518518518518517,0.018518518518518517,0.043209876543209874,0.0,0.037037037037037035,0.0,0.11728395061728394,0.0,0.024691358024691357,0.0,0.0,0.11728395061728394,0.037037037037037035,0.043209876543209874,0.0,0.037037037037037035,0.018518518518518517,0.0,0.043209876543209874,0.037037037037037035,0.11728395061728394,0.0,0.11728395061728394,0.043209876543209874,0.018518518518518517,0.0,0.024691358024691357,0.043209876543209874
ATL,0.043209876543209874,0.0,0.0,0.024691358024691357,0.037037037037037035,0.018518518518518517,0.043209876543209874,0.018518518518518517,0.043209876543209874,0.018518518518518517,0.0,0.018518518518518517,0.0,0.037037037037037035,0.1111111111111111,0.043209876543209874,0.024691358024691357,0.11728395061728394,0.0,0.0,0.11728395061728394,0.043209876543209874,0.037037037037037035,0.0,0.043209876543209874,0.037037037037037035,0.0,0.0,0.0,0.11728395061728394
BAL,0.018518518518518517,0.0,0.0,0.11728395061728394,0.0,0.043209876543209874,0.0,0.037037037037037035,0.018518518518518517,0.043209876543209874,0.043209876543209874,0.037037037037037035,0.037037037037037035,0.018518518518518517,0.0,0.0,0.037037037037037035,0.0,0.11728395061728394,0.043209876543209874,0.0,0.0,0.024691358024691357,0.043209876543209874,0.018518518518518517,0.0,0.11728395061728394,0.043209876543209874,0.11728395061728394,0.024691358024691357
BOS,0.018518518518518517,0.024691358024691357,0.11728395061728394,0.0,0.0,0.043209876543209874,0.0,0.037037037037037035,0.018518518518518517,0.043209876543209874,0.043209876543209874,0.037037037037037035,0.043209876543209874,0.018518518518518517,0.0,0.0,0.043209876543209874,0.0,0.11728395061728394,0.037037037037037035,0.0,0.0,0.018518518518518517,0.043209876543209874,0.024691358024691357,0.0,0.11728395061728394,0.037037037037037035,0.11728395061728394,0.0
CHC,0.043209876543209874,0.037037037037037035,0.0,0.0,0.0,0.024691358024691357,0.11728395061728394,0.0,0.037037037037037035,0.0,0.018518518518518517,0.0,0.024691358024691357,0.043209876543209874,0.043209876543209874,0.11728395061728394,0.0,0.043209876543209874,0.0,0.018518518518518517,0.037037037037037035,0.11728395061728394,0.037037037037037035,0.018518518518518517,0.043209876543209874,0.11728395061728394,0.0,0.018518518518518517,0.0,0.043209876543209874
CHW,0.0,0.018518518518518517,0.043209876543209874,0.043209876543209874,0.024691358024691357,0.0,0.0,0.11728395061728394,0.0,0.11728395061728394,0.037037037037037035,0.11728395061728394,0.043209876543209874,0.0,0.018518518518518517,0.0,0.11728395061728394,0.018518518518518517,0.037037037037037035,0.043209876543209874,0.024691358024691357,0.0,0.0,0.043209876543209874,0.0,0.0,0.043209876543209874,0.037037037037037035,0.037037037037037035,0.018518518518518517
CIN,0.037037037037037035,0.043209876543209874,0.0,0.0,0.11728395061728394,0.0,0.0,0.024691358024691357,0.043209876543209874,0.0,0.018518518518518517,0.0,0.018518518518518517,0.043209876543209874,0.043209876543209874,0.11728395061728394,0.0,0.037037037037037035,0.0,0.018518518518518517,0.037037037037037035,0.11728395061728394,0.043209876543209874,0.018518518518518517,0.037037037037037035,0.11728395061728394,0.0,0.024691358024691357,0.0,0.043209876543209874
CLE,0.0,0.018518518518518517,0.037037037037037035,0.037037037037037035,0.0,0.11728395061728394,0.024691358024691357,0.0,0.0,0.1111111111111111,0.043209876543209874,0.11728395061728394,0.043209876543209874,0.0,0.018518518518518517,0.0,0.11728395061728394,0.018518518518518517,0.043209876543209874,0.037037037037037035,0.018518518518518517,0.0,0.0,0.043209876543209874,0.0,0.0,0.037037037037037035,0.043209876543209874,0.043209876543209874,0.024691358024691357
COL,0.11728395061728394,0.043209876543209874,0.018518518518518517,0.018518518518518517,0.037037037037037035,0.0,0.043209876543209874,0.0,0.0,0.0,0.0,0.0,0.0,0.11728395061728394,0.043209876543209874,0.037037037037037035,0.0,0.043209876543209874,0.024691358024691357,0.0,0.043209876543209874,0.043209876543209874,0.11728395061728394,0.0,0.11728395061728394,0.037037037037037035,0.018518518518518517,0.024691358024691357,0.018518518518518517,0.037037037037037035
DET,0.0,0.018518518518518517,0.043209876543209874,0.043209876543209874,0.0,0.11728395061728394,0.0,0.1111111111111111,0.0,0.0,0.037037037037037035,0.11728395061728394,0.037037037037037035,0.0,0.024691358024691357,0.0,0.11728395061728394,0.018518518518518517,0.037037037037037035,0.043209876543209874,0.018518518518518517,0.024691358024691357,0.0,0.043209876543209874,0.0,0.0,0.043209876543209874,0.037037037037037035,0.043209876543209874,0.018518518518518517
