,Unnamed: 0,Season,Team,W%,RS/G,RA/G,skill,oppW%,schedulerank,Division
0,0,2004,ANA,0.5679012345679012,5.160493827160494,4.530864197530864,0.5592500149096977,0.5007765158507684,0.5007302840818151,AL West
1,1,2004,ARI,0.3148148148148148,3.796296296296296,5.549382716049383,0.3329707603822985,0.5131356850805764,0.5113099402489554,NL West
2,2,2004,ATL,0.5925925925925926,4.95679012345679,4.1234567901234565,0.5834231474521365,0.4867847936375397,0.4911493020860908,NL East
3,3,2004,BAL,0.4814814814814814,5.197530864197531,5.1234567901234565,0.5065667208064435,0.5056457743432153,0.4996048957060791,AL East
4,4,2004,BOS,0.6049382716049383,5.8580246913580245,4.7407407407407405,0.5956236224585113,0.4976439453537319,0.4949218296121984,AL East
5,5,2004,CHC,0.5493827160493827,4.87037037037037,4.104938271604938,0.5775910282994942,0.5064061966012222,0.4989107248769133,NL Central
6,6,2004,CHW,0.5123456790123457,5.339506172839506,5.12962962962963,0.5183373901289109,0.4930849618629181,0.4984427481338812,AL Central
7,7,2004,CIN,0.4691358024691358,4.62962962962963,5.598765432098766,0.4139095358685287,0.5121165819859679,0.5134688031873444,NL Central
8,8,2004,CLE,0.4938271604938271,5.296296296296297,5.290123456790123,0.5005335275547658,0.4905701013233662,0.4943252986048917,AL Central
9,9,2004,COL,0.419753086419753,5.141975308641976,5.697530864197531,0.4531999112149799,0.5036383353166316,0.4999192964236008,NL West
10,10,2004,DET,0.4444444444444444,5.104938271604938,5.209876543209877,0.4906919571802293,0.4959269010083104,0.4968648399665726,AL Central
11,11,2004,FLA,0.5123456790123457,4.432098765432099,4.320987654320987,0.511613485419419,0.4941239452779974,0.4961595467924146,NL East
12,12,2004,HOU,0.5679012345679012,4.95679012345679,4.308641975308642,0.563762973364124,0.5007814859308861,0.497795185835495,NL Central
13,13,2004,KCR,0.3580246913580246,4.444444444444445,5.58641975308642,0.396877842095559,0.5101512703051436,0.5109381528949558,AL Central
14,14,2004,LAD,0.5740740740740741,4.697530864197531,4.222222222222222,0.5486496116975217,0.4885089380974151,0.4908982738947063,NL West
15,15,2004,MIL,0.4161490683229814,3.91358024691358,4.672839506172839,0.4195830688297598,0.5141384579119412,0.5092749059180429,NL Central
