,season,wavgwRC+_1b,medianwRC+_1b,wavgwRC+_2b,medianwRC+_2b,wavgwRC+_3b,medianwRC+_3b,wavgwRC+_ss,medianwRC+_ss,wavgwRC+_c,medianwRC+_c,wavgwRC+_cf,medianwRC+_cf,wavgwRC+_lf,medianwRC+_lf,wavgwRC+_rf,medianwRC+_rf,wavgwRC+_of,medianwRC+_of
0,1962,110.20833075063535,100.0,83.28256213900966,73.0,94.9431538190778,81.0,83.75355819847923,73.0,91.3597972972973,83.0,106.22613996294749,96.0,110.56577255190152,100.0,114.26444783520886,104.0,111.29873130479628,100.0
1,1963,103.94267476830542,91.5,85.5138163759073,78.0,97.67902089101432,91.0,81.6243624561171,69.0,93.50256807148384,76.0,105.04754393871112,88.5,114.51492502883504,101.0,108.6970024165767,98.0,110.53202942022436,97.0
2,1964,105.825303333726,87.0,79.07624506903353,75.0,100.61173368490442,88.0,89.82744334944447,77.0,89.72597688107224,71.0,102.11664772387392,93.0,109.27793113467963,94.0,109.45124313007064,94.0,108.67132436042328,96.0
3,1965,113.14217497583992,104.5,87.71880865974222,77.0,103.17169860855869,87.0,81.57109275730622,76.0,83.67187830128883,72.0,105.6020642201835,94.0,106.609884435702,89.0,109.91115235167896,87.0,108.4924104950791,97.0
4,1966,109.33917083631164,85.0,80.70949510173322,74.5,105.41505038150154,87.0,83.7411534223093,74.5,88.52346990757587,76.0,109.13204976303318,103.0,106.50389239485926,86.0,110.7163888287508,95.0,109.35549565738243,94.0
5,1967,112.8530160486995,97.0,86.88512165935381,73.0,102.08967633928572,92.5,75.71204681509383,69.0,81.25602253354087,71.0,101.20876203119816,95.0,112.01828664084316,95.0,106.9436428980676,93.0,109.69685343119878,95.0
6,1968,110.56172043010751,100.5,87.76270973417962,81.0,95.5613322502031,86.5,72.08528381219342,59.0,88.4574355351466,75.0,108.15727618389217,99.0,114.7090514048689,96.0,109.20422535211269,96.0,112.31081781656373,99.5
7,1969,117.1214095944659,93.0,84.20231442559714,75.0,96.6911700528536,90.0,79.57623894715196,72.0,82.01340383669454,72.0,104.86054361343044,89.0,106.23006797909544,91.5,112.46622040411552,100.0,110.2856841994419,94.0
8,1970,115.68961498812244,97.0,76.0775671649458,62.0,104.01915551915552,90.0,76.99302885847557,60.0,93.9074074074074,78.0,105.9450722045286,90.5,116.18925342892769,96.0,107.55626081938834,91.0,111.62626158066352,96.0
9,1971,115.8958323781578,106.0,88.37939110070256,82.5,101.73282223287012,87.5,70.03175900201558,67.0,90.80137955429782,81.0,103.6748928953945,95.0,109.33895783580628,91.0,108.46892350400988,93.5,108.95227237660932,94.5
10,1972,119.77335304915356,104.5,82.74127937066555,77.0,95.75722149707734,83.5,71.28998056193674,62.0,90.6766345977082,71.0,104.6440759819704,93.0,110.6504339223886,96.0,108.4554420725025,104.0,109.71836094685736,99.5
11,1973,110.66548945033053,101.0,89.32965188674136,78.0,104.80515669217064,96.5,65.60172258500337,62.0,89.75030909626139,74.0,103.67501855976244,90.0,107.69036965372678,95.0,105.59450888759076,92.0,107.09552339279703,95.0
12,1974,110.59418734438052,104.5,87.17244371595237,75.0,98.24455128205126,78.0,75.38273413727038,68.5,92.79146057194838,75.0,103.69886363636364,88.5,108.74163309575457,91.0,108.42305836951276,98.0,108.27402153566094,97.0
13,1975,114.13834573070244,103.5,90.44664817625204,75.0,96.94751457928352,82.0,71.9848493643699,58.0,93.3559498352887,77.5,101.7587467130187,95.0,106.36184868775494,93.0,108.26570988772184,96.0,107.26461559335831,98.0
14,1976,107.88182167563411,98.0,87.06018518518519,81.0,99.62248870892384,81.0,80.4890422778257,75.0,89.787675975075,82.0,103.48454055095358,88.0,107.07050217477264,97.0,107.1485131169798,94.0,106.70548242683417,94.0
15,1977,109.68398027021232,99.5,80.52239928547925,67.5,100.47478949478749,87.5,68.76677364356634,60.0,97.4282197176934,83.0,100.15681856827072,93.0,107.71916548797736,95.5,111.93511585055084,101.0,109.17671840007516,97.0
16,1978,107.81480297703298,97.0,85.44858539336404,72.5,100.16112084063047,90.0,79.43356643356643,72.5,92.8869179600887,81.0,98.8612650046168,92.5,107.02155172413792,105.0,108.93226883320597,99.0,107.3562789479714,99.0
17,1979,111.39139581812717,100.0,87.34582321061484,73.0,100.3109739242606,88.5,73.31259910992891,68.5,92.36862139917696,81.0,103.02686825447424,95.5,107.22569848661232,96.5,109.45196280991736,102.0,108.5554519437924,98.5
18,1980,112.35150920683046,103.0,83.99314685314687,73.0,96.65088483276196,83.0,76.23041729512317,65.5,90.60272565031636,79.0,100.33788596086976,94.5,108.25282739255908,99.5,108.67174920712368,97.0,107.78436226888124,97.0
19,1981,106.67422351636162,97.0,85.95762052877139,78.5,102.33206306508258,80.0,77.11119905025723,62.5,91.70943735688584,77.5,100.72407003726885,91.0,108.71986863711,95.0,109.36021146016893,93.0,107.20610648876897,93.0
20,1982,105.64782805429864,97.5,86.66169924520999,78.0,103.1855085926614,94.0,79.82198202172833,64.0,92.29560904937031,75.5,104.37076840408383,98.5,107.29370602184817,101.0,106.09871869539894,96.0,105.72071439321728,99.0
21,1983,108.0749787880141,100.0,89.89194621237498,78.0,100.49039999999998,80.5,81.39392373669527,66.0,90.4862344083605,78.0,99.00970873786407,90.0,108.61645548516172,101.5,99.66698537906856,95.0,103.88228056465424,96.0
22,1984,107.23683964031471,94.0,90.8049930514195,85.0,97.58740905416327,83.0,74.71886772708244,62.0,88.7069653948536,78.0,105.9509901437743,101.5,103.57893630439352,94.0,112.980890654401,102.0,108.32323232323232,101.0
23,1985,109.92337164750955,101.0,93.94988981005352,82.0,104.29474753069324,89.0,81.22496592219777,75.0,90.48292326704866,83.0,98.82049313583818,90.0,103.81909438079651,94.0,106.82430558473756,102.0,105.24529164829062,95.0
24,1986,110.26821610779228,103.5,89.96887400154598,75.0,101.7219222462203,88.0,79.6398152378052,63.0,89.42230215827337,80.5,102.25976615607722,92.5,104.40824645575556,94.0,105.92030167142276,97.0,105.04113888214836,95.0
25,1987,116.08742949234488,102.0,89.02212765957447,83.0,102.488734200403,85.0,79.898332699723,67.0,80.88495919160513,62.5,103.79955267278017,94.0,106.207914369121,96.0,109.4976385458642,96.0,106.85220710894392,96.0
26,1988,110.26819859107682,94.5,89.49477212466856,83.0,98.8448027641808,83.0,85.15504246284502,73.5,88.10398131672598,78.5,100.0882271595833,85.5,101.34671477402205,86.0,106.09745908699396,95.0,104.85114941600298,92.5
27,1989,115.21437908496732,98.0,93.94545699407432,85.0,100.0415254237288,85.0,81.64579148252311,79.0,85.03571030640667,77.0,96.4682196920124,87.0,108.1223766364552,97.0,102.08936248392428,88.0,104.52707111316154,95.0
28,1990,114.39919944908324,102.0,92.69650554893148,80.0,95.42567002704696,83.0,80.44153638679389,71.0,90.4296610624698,78.0,102.84050106272328,92.0,106.80760450848908,96.0,102.50718803910294,95.0,105.38230680581344,96.0
29,1991,109.92283560629166,94.5,94.52820842124576,82.5,101.50862555946638,89.0,83.65300811348676,64.0,84.52722392638037,69.5,100.10673754377083,90.0,101.99052204001804,91.5,108.58910394818014,97.5,104.9542312542903,95.0
