,season,month,r^2
0,1998,Apr,0.6006913280333488
1,1998,May,0.5596323149560756
2,1998,Jun,0.31710034976636015
3,1998,Jul,0.4308042514197796
4,1998,Aug,0.6175974293431813
5,1998,Sep,0.24558121675215175
6,1999,Apr,0.39816415078585804
7,1999,May,0.4115329496078218
8,1999,Jun,0.4236513024871838
9,1999,Jul,0.34148264083891705
10,1999,Aug,0.5622670569247049
11,1999,Sep,0.5001456711792865
12,2000,Apr,0.44960091318704565
13,2000,May,0.19700085262523992
14,2000,Jun,0.1795875138260529
15,2000,Jul,0.13605350968702815
16,2000,Aug,0.3114836623736191
17,2000,Sep,0.5389465407895765
18,2001,Apr,0.21417503254110334
19,2001,May,0.5710654829904311
20,2001,Jun,0.2721886271317851
21,2001,Jul,0.427791975818208
22,2001,Aug,0.4934766498457046
23,2001,Sep,0.47758880133186654
24,2002,Apr,0.3529524723972282
25,2002,May,0.4270458629541639
26,2002,Jun,0.5263783563755237
27,2002,Jul,0.5396106965716966
28,2002,Aug,0.5219309088654032
29,2002,Sep,0.6808219743099082
30,2003,Apr,0.6673734164791318
31,2003,May,0.2196850686156231
32,2003,Jun,0.5528620419533407
33,2003,Jul,0.24786052081093485
34,2003,Aug,0.3421871221567043
35,2003,Sep,0.6517247279948829
36,2004,Apr,0.4303642272321439
37,2004,May,0.41958949759988506
38,2004,Jun,0.14920807883721096
39,2004,Jul,0.4774072825836601
40,2004,Aug,0.702784046182385
41,2004,Sep,0.6116164853691834
42,2005,Apr,0.1937025229715605
43,2005,May,0.2850908177125366
44,2005,Jun,0.4086183313029604
45,2005,Jul,0.31287371837195715
46,2005,Aug,0.3790506633880137
47,2005,Sep,0.3549147188964013
48,2006,Apr,0.16775765559223826
49,2006,May,0.3924116589354209
50,2006,Jun,0.22142795928731124
51,2006,Jul,0.23387744682444112
52,2006,Aug,0.31535628453186415
53,2006,Sep,0.33300665502088594
54,2007,Apr,0.21721266035686115
55,2007,May,0.5038203061688943
56,2007,Jun,0.4152018058314073
57,2007,Jul,0.14604686390540791
58,2007,Aug,0.17831478399591547
59,2007,Sep,0.5925493883466177
60,2008,Apr,0.3446632850107159
61,2008,May,0.34379626150638687
62,2008,Jun,0.21771493124676394
63,2008,Jul,0.5179237333633443
64,2008,Aug,0.45057652619606214
65,2008,Sep,0.3380759571356394
66,2009,Apr,0.24585077466645117
67,2009,May,0.20374914991283358
68,2009,Jun,0.35048831455554297
69,2009,Jul,0.5085499570917749
70,2009,Aug,0.4733755475032204
71,2009,Sep,0.44222693675329416
72,2010,Apr,0.29777144894507873
73,2010,May,0.579704542696197
74,2010,Jun,0.24223631699664241
75,2010,Jul,0.5875650164152182
76,2010,Aug,0.3119344891687763
77,2010,Sep,0.18852734312937092
78,2011,Apr,0.16659206371872973
79,2011,May,0.3564707108341818
80,2011,Jun,0.25151771220818653
81,2011,Jul,0.44586141657994527
82,2011,Aug,0.5974139975783883
83,2011,Sep,0.32735505392276415
84,2012,Apr,0.33543946191396373
85,2012,May,0.0483532140786882
86,2012,Jun,0.3221969210748628
87,2012,Jul,0.3811939924552269
88,2012,Aug,0.5664454344399471
89,2012,Sep,0.5257463374472717
90,2013,Apr,0.5431166164298352
91,2013,May,0.3239815583725505
92,2013,Jun,0.18284120300193688
93,2013,Jul,0.4298129969162061
94,2013,Aug,0.4711157018418006
95,2013,Sep,0.5022350306997829
96,2014,Apr,0.08229939539321832
97,2014,May,0.11806313786393952
98,2014,Jun,0.42310937860992837
99,2014,Jul,0.37924055323573486
100,2014,Aug,0.5039370557522141
101,2014,Sep,0.44214883970285834
102,2015,Apr,0.2992477939534417
103,2015,May,0.22286041430257628
104,2015,Jun,0.39929401472974585
105,2015,Jul,0.2790940531536651
106,2015,Aug,0.637238740337787
107,2015,Sep,0.35295511097191756
108,2016,Apr,0.3296706841084508
109,2016,May,0.6339621183917304
110,2016,Jun,0.3693961969143186
111,2016,Jul,0.04264783853377178
112,2016,Aug,0.5351547716737286
113,2016,Sep,0.4561962859596865
114,2017,Apr,0.34617993313251355
115,2017,May,0.4721921256859037
116,2017,Jun,0.5188728337932296
117,2017,Jul,0.41682793183473965
118,2017,Aug,0.3438768284863307
119,2017,Sep,0.4563590402813044
120,2018,Apr,0.5892712476954879
121,2018,May,0.4062708533248318
122,2018,Jun,0.35135775074233666
123,2018,Jul,0.5138207949344582
124,2018,Aug,0.49115948207959914
125,2018,Sep,0.46028584015218726
126,2019,Apr,0.5007636265125165
127,2019,May,0.46417596974454384
128,2019,Jun,0.5523145992616406
129,2019,Jul,0.43187816601092455
130,2019,Aug,0.814151798398278
131,2019,Sep,0.6941114817631422
132,2021,Apr,0.23149627932857197
133,2021,May,0.5091089986004768
134,2021,Jun,0.4121075745816583
135,2021,Jul,0.47587399064499264
136,2021,Aug,0.6939754787064791
137,2021,Sep,0.5525350446535056
138,2022,Apr,0.3226036259802689
139,2022,May,0.40616123379342284
140,2022,Jun,0.46925207585013046
141,2022,Jul,0.4585929337257348
142,2022,Aug,0.540007446209189
143,2022,Sep,0.6817591832398893
